tier	gwas studies	PGS id	name	other names	GWAS tags	source	note
A	25123	Knight_ADRC	Knight Alzheimer Disease Research Center		Knight-ADRC; Knight_ADRC	PGS + GWAS	
A	25123	Knight-ADRC	Charles F. and Joanne Knight Alzheimer's Disease Research Center		Knight-ADRC; Knight_ADRC	PGS + GWAS	
A	13746	ADNI	Alzheimers Disease Neuroimaging Initiative		ADNI	PGS + GWAS	
A	12791	DIAN	The Dominantly Inherited Alzheimer Network		DIAN	PGS + GWAS	
A	12786	Barcelona-1	Barcelona-1, MútuaTerrassa University Hospital		Barcelona-1	PGS + GWAS	
A	11958	Other	Unknown or unspecified cohort		OTHER; Other; other	PGS + GWAS	
A	11432	STARNET	Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task		STARNET	PGS + GWAS	
A	9508	NR	Not Reported		NR	PGS + GWAS	
A	8080	MVP	Million Veteran Program		MVP	PGS + GWAS	
A	7045	CHIMGEN	Chinese Imaging Genetics		CHIMGEN	PGS + GWAS	
A	6790	AASK	African American Study of Kidney disease and hypertension		AASK	PGS + GWAS	
A	5547		UKBB		UKBB	GWAS only	
A	5546	AmDem	Amsterdam Dementia Cohort		AmDem	PGS + GWAS	
A	5330	PAND	Protein Aggregation and Neurotransmitter Deficits		PAND	PGS + GWAS	
A	5330	PIB	PIB		PIB	PGS + GWAS	
A	5082	BBJ	BioBank Japan Project		BBJ	PGS + GWAS	
A	5068	INTERVAL	INTERVAL		INTERVAL	PGS + GWAS	
A	4917	AGES	Aging Gene-Environment Susceptibility - Reykjavik Study		AGES	PGS + GWAS	
A	4649	Stanford_ADRC	Stanford Alzheimer's Disease Research Center		Stanford_ADRC	PGS + GWAS	
A	4461	CLSA	Canadian Longitudinal Study on Aging		CLSA	PGS + GWAS	
A	3953	JHS	Jackson Heart Study		JHS	PGS + GWAS	
A	2941	UKB-PPP	UK Biobank Pharma Plasma Proteome		UKB-PPP	PGS + GWAS	
A	2319	MGBB	Mass General Brigham Biobank		MGBB	PGS + GWAS	
