PGS id	GWAS tags	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
Knight_ADRC	Knight-ADRC; Knight_ADRC	Knight Alzheimer Disease Research Center	mint cohort	COHO:0000366	Charles F. and Joanne Knight Alzheimer Disease Research Center	Knight_ADRC|Knight-ADRC|Knight ADRC	Knight Alzheimer Disease Research Center|Knight ADRC Memory and Aging Project	cohort			GCST90727422	PMID:42127933	Identification of genetic modifiers of autosomal dominant Alzheimer's disease: a genome-wide association study.	In this genome-wide association study (GWAS), we analysed data from individuals carrying ADAD mutations and control participants from three cohorts— the Knight Alzheimer Disease Research Center (Knight-ADRC),18 the Dominantly Inherited Alzheimer Network (DIAN) observational study, and the Alzheimer Disease Sequencing Project (ADSP) R4.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13340468/fullTextXML	A cohort of research volunteers recruited over more than 40 years by the Charles F. and Joanne Knight Alzheimer Disease Research Center at Washington University in St. Louis, United States, largely through its Memory and Aging Project and Memory Diagnostic Clinic, and followed with cognitive, neuropsychological, imaging, fluid biomarker, genomic and multi-omic assessments to study Alzheimer disease and related dementias.	PMID:38997326	Claude Opus 5.5 (Anthropic), 2026-09	United_States	The Knight-Alzheimer Disease Research Center (Knight-ADRC) at Washington University in St. Louis has pioneered and led worldwide seminal studies that have expanded our clinical, social, pathological, and molecular understanding of Alzheimer Disease.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A38997326+AND+SRC%3AMED&format=json&resultType=core					Not in COHO under any name. Tags Knight_ADRC and Knight-ADRC (~30,457 GCSTs, 7 PMIDs, mostly CSF/plasma pQTL and metabolite QTL studies) are one cohort; row Knight-ADRC is the duplicate. The pQTL papers call it the Knight ADRC Memory and Aging Project (MAP) and split it into Knight-ADRC (Oct 2021) and (June 2023) proteomic batches. Country inferred from St. Louis (Missouri). Knight-ADRC participants carrying ADAD mutations are referred to DIAN (PMID:38997326), so the two samples can overlap. Example study PMID:42127933 also carries tags DIAN and ADSP.
Knight-ADRC	Knight-ADRC; Knight_ADRC	Charles F. and Joanne Knight Alzheimer's Disease Research Center	mint cohort	COHO:0000366	Charles F. and Joanne Knight Alzheimer Disease Research Center			cohort	Knight_ADRC																	Duplicate of Knight_ADRC (same GWAS tags, same center; PGS names differ only by the donors' names); see row Knight_ADRC.
ADNI	ADNI	Alzheimers Disease Neuroimaging Initiative	mint cohort	COHO:0000367	Alzheimer's Disease Neuroimaging Initiative	ADNI		cohort			GCST90103504	PMID:35086473	Genome-Wide association study of quantitative biomarkers identifies a novel locus for alzheimer's disease at 12p12.1.	Data used in this analysis was obtained from the Alzheimer’s Disease Neuroimaging Initiative (ADNI) database [47].	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8796646/fullTextXML	A multi-site longitudinal cohort of cognitively normal older adults and people with mild cognitive impairment or mild Alzheimer disease, recruited from 2004 at over 60 clinical sites in the United States and Canada by the Alzheimer's Disease Neuroimaging Initiative, a public-private partnership, to evaluate neuroimaging, fluid biomarker and clinical measures of Alzheimer disease progression.	PMID:20042704|https://adni.loni.usc.edu/about/	Claude Opus 5.5 (Anthropic), 2026-09	United_States|Canada	Researchers at over 60 clinical sites in the USA and Canada collect data to study the progression of AD in the human brain across normal aging, mild cognitive impairment (MCI), and Alzheimer’s disease and dementia.	https://adni.loni.usc.edu/about/					Not in COHO. Tag ADNI: 13,746 GCSTs, 31 PMIDs; example is a single-cohort ADNI GWAS (PMID:35086473). ADNI phases (ADNI 1/GO/2/3/4) are not separate tags here; ADNI-DOD is a separate tag outside this batch. The GWAS-tagged ADNI studies also include sub-studies such as ADNI CSF pQTL samples.
DIAN	DIAN	The Dominantly Inherited Alzheimer Network	mint cohort	COHO:0000368	Dominantly Inherited Alzheimer Network	DIAN		cohort			GCST90727422	PMID:42127933	Identification of genetic modifiers of autosomal dominant Alzheimer's disease: a genome-wide association study.	In this genome-wide association study (GWAS), we analysed data from individuals carrying ADAD mutations and control participants from three cohorts— the Knight Alzheimer Disease Research Center (Knight-ADRC),18 the Dominantly Inherited Alzheimer Network (DIAN) observational study, and the Alzheimer Disease Sequencing Project (ADSP) R4.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13340468/fullTextXML	An international longitudinal cohort of asymptomatic and symptomatic carriers of autosomal dominant Alzheimer disease mutations and their non-carrier family members, followed by a network of Alzheimer disease centres coordinated from Washington University in St. Louis with standard clinical, cognitive, neuroimaging and fluid biomarker protocols to determine the pathochronology of the disease.	PMID:23139856	Claude Opus 5.5 (Anthropic), 2026-09	United_States|United_Kingdom|Australia	Washington University (St. Louis, Missouri, USA) is the coordinating center for DIAN, which has 11 current performance sites in the US, United Kingdom, and Australia.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3489185/unicode					"Not in COHO. Tag DIAN: 12,791 GCSTs, 7 PMIDs. Label drops the PGS name's leading ""The"". Countries are those of the 2012 description; the 2013 review (PMC3978584) already lists sites in Tubingen and Munich, Germany, and DIAN has since expanded further - curator may add Germany and later countries. The DIAN observational study is distinct from the DIAN Trials Unit (DIAN-TU)."
Barcelona-1	Barcelona-1	Barcelona-1, MútuaTerrassa University Hospital	mint cohort	COHO:0000369	Barcelona-1	Barcelona-1	Longitudinal observational study from the Memory and Disorder unit at the University Hospital Mutua de Terrassa	cohort			GCST90421033	PMID:39528825	Proteogenomic analysis of human cerebrospinal fluid identifies neurologically relevant regulation and implicates causal proteins for Alzheimer's disease.	Genomic datasets from ADNI, DIAN, Knight-ADRC (Oct 2021), Knight-ADRC (June 2023), MARS, FACE, and Barcelona-1 were genotyped on multiple arrays at different times and were imputed individually using the GRCh38 Version R2 reference panel on the TOPMed imputation server.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11831731/	A longitudinal observational memory-clinic cohort of about 300 people at baseline, diagnosed with Alzheimer disease dementia, other dementias, mild cognitive impairment or subjective memory complaints, assembled at the Memory Disorders Unit of the University Hospital Mútua de Terrassa near Barcelona, Spain, with cerebrospinal fluid and amyloid PET biomarkers collected for selected participants.	PMID:35871346	Claude Opus 5.5 (Anthropic), 2026-09	Spain	Barcelona -1 is a longitudinal observational study consisting of ~300 subjects at baseline carried out in the Memory and Disorder unit at the University Hospital Mutua de Terrassa, Terrassa, Barcelona, Spain.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC9562128/unicode					Not in COHO. Tag Barcelona-1: 12,786 GCSTs, 5 PMIDs, mostly Cruchaga-lab CSF pQTL/metabolite studies. The cohort has no longer formal name in the sources read, so the label is the study's own name. Doubt: the tag is also on PMID:39132902 (levodopa-induced dyskinesia GWAS in Parkinson disease, GCST90281037/GCST90281038); I could not read that paper's cohort description (only a fragment of the full text was available), so whether Barcelona-1 there is this memory-clinic cohort or a Barcelona Parkinson cohort is unverified.
Other	OTHER; Other; other	Unknown or unspecified cohort	not a cohort																							"Placeholder (""Unknown or unspecified cohort"") used by the PGS Catalog and by the GWAS Catalog tags OTHER/Other/other (11,958 GCSTs) for cohorts that were not named or not in the curation list; not a cohort."
STARNET	STARNET	Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task	mint cohort	COHO:0000370	Stockholm-Tartu Atherosclerosis Reverse Networks Engineering Task	STARNET	Stockholm-Tartu Atherosclerosis Reverse Engineering Task	cohort			GCST90797644	PMID:41456820	Deciphering tissue-specific protein regulation for insights into cardiometabolic disease.	Utilizing Olink technology, we assessed relative protein levels across plasma and tissue (aortic wall, mammary artery, liver, and skeletal muscle) from the STARNET cohort: 284 individuals with a high prevalence of coronary artery disease (CAD).	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12824914/fullTextXML	A cohort of patients with coronary artery disease undergoing coronary artery bypass grafting, with comparison patients undergoing other open-heart surgery, enrolled at the Department of Cardiac Surgery of Tartu University Hospital in Estonia, whose vascular and metabolic tissues and blood were genotyped, RNA-sequenced and proteomically profiled to study gene regulation underlying cardiometabolic disease.	PMID:27540175|PMID:41456820	Claude Opus 5.5 (Anthropic), 2026-09	Estonia	Coronary artery disease (CAD) patients eligible for coronary artery by-pass grafting (CABG) surgery (n = 200) and controls eligible for other open-heart surgeries (e.g. valve replacement, n = 84), verified to be CAD-free in pre-operative coronary angiograms, were enrolled at the Department of Cardiac Surgery, Tartu University Hospital.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12824914/fullTextXML					"Not in COHO. Tag STARNET: 11,432 GCSTs, all from PMID:41456820 (tissue/plasma pQTLs). Label as in the design paper PMID:27540175 (600 CAD patients); PMID:41456820 spells it without ""Networks"", kept as a synonym. Recruitment in Tartu (the same URL gives the affiliation Tartu University, Tartu, Estonia); ""Stockholm"" reflects the Karolinska analysis partner, not a recruitment site."
NR	NR	Not Reported	not a cohort																							"Placeholder ""Not Reported"" (tag NR, 9,508 GCSTs); not a cohort."
MVP	MVP	Million Veteran Program	mint cohort	COHO:0000371	Million Veteran Program	MVP	VA Million Veteran Program	cohort			GCST90475089	PMID:39024449	Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.	We present genome-wide associations for 2068 traits from 635,969 participants in the Department of Veterans Affairs Million Veteran Program, a longitudinal study of diverse United States Veterans.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A39024449+AND+SRC%3AMED&format=json&resultType=core	An observational cohort and mega-biobank of veterans enrolled since 2011 at recruiting sites of the Department of Veterans Affairs health care system in the United States, combining questionnaires, electronic health records and blood samples for genomic testing to study genetic influences on health and disease.	PMID:26441289	Claude Opus 5.5 (Anthropic), 2026-09	United_States	We present genome-wide associations for 2068 traits from 635,969 participants in the Department of Veterans Affairs Million Veteran Program, a longitudinal study of diverse United States Veterans.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A39024449+AND+SRC%3AMED&format=json&resultType=core					8080 GWAS Catalog studies tagged MVP (101 PMIDs); no COHO match for MVP/Million Veteran/veteran; MVP has no acronym clash in COHO. Definition from the MVP design paper abstract (Gaziano et al. 2016).
CHIMGEN	CHIMGEN	Chinese Imaging Genetics	mint cohort	COHO:0000372	Chinese Imaging Genetics study	CHIMGEN	Chinese Imaging Genetics|Chinese Imaging Genetics cohort	cohort			GCST90428575	PMID:37822511	Genome-wide association study of hippocampal blood-oxygen-level-dependent-cerebral blood flow correlation in Chinese Han population.	In this study, we conducted the first GWAS on the hippocampal BOLD-CBF correlation in 4,832 Chinese Han participants from the Chinese Imaging Genetics (CHIMGEN) cohort.22 Here, the across-voxel correlation between reginal homogeneity (ReHo) derived from the resting-state fMRI data and CBF measured by the arterial spin labeling (ASL) MRI data within hippocampal voxels was used as a proxy to represent hippocampal NVC.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10562876/fullTextXML	A cohort of healthy Chinese Han adults aged 18–30 years recruited at research centres in mainland Chinese cities by the Chinese Imaging Genetics (CHIMGEN) study, collecting genomic, neuroimaging, environmental and behavioural data to identify genetic and environmental factors associated with neuroimaging and behavioural phenotypes.	PMID:31827248	Claude Opus 5.5 (Anthropic), 2026-09	China	The aim of this study was to collect genomic, neuroimaging, environmental, and behavioral data from 10,000 healthy Chinese Han participants aged 18–30 years in 30 research centers from 21 mainland cities in China.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7042768/fullTextXML					"7045 GWAS Catalog studies tagged CHIMGEN (4 PMIDs, all single-tag); label from the profile paper (PMID:31827248, which calls it ""the Chinese Imaging Genetics (CHIMGEN) study""). The example quote sentence ends with a citation marker ""22"" glued to the full stop, as printed in the full text."
