ID,label,type,disease cohort,disease role,diseases,quote,source,confidence,note,classified by,checked by
COHO:0000002,1000 Genomes,cohort,no,,,The 1000 Genomes Project set out to provide a comprehensive description of common human genetic variation by applying whole-genome sequencing to a diverse set of individuals from multiple populations.,https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A26432245+AND+SRC%3AMED&format=json&resultType=core,high,"Reference panel of 2,504 individuals from 26 populations sequenced to catalogue human genetic variation; participants were sampled by population, not for any exposure or disease.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000003,AddNeuroMed Cohort,cohort,yes,patients,Alzheimer's disease | mild cognitive impairment,"The main aim of the AddNeuroMed study, also a private–public partnership and a pilot for the European FP6 Innovative Medicines Initiative, is to find biomarkers for AD, in particular for early diagnosis of the disease.",https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5980656/unicode,high,Multicentre biomarker study enrolling people with Alzheimer's disease and mild cognitive impairment alongside healthy controls; a disease cohort with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000004,Adenoma Prevention with Celecoxib trial,cohort,yes,at risk,colorectal adenoma | colorectal cancer,"The Adenoma Prevention with Celecoxib Trial examined the efficacy and safety of the cyclooxygenase (Cox)-2 inhibitor, celecoxib, for sporadic colorectal adenoma prevention in patients at high risk for colorectal cancer.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A19336730+AND+SRC%3AMED&format=json&resultType=core,high,"Randomised trial of celecoxib in patients with prior sporadic colorectal adenomas at high risk of recurrence and colorectal cancer; the intervention is a medication, so there is no environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000005,Advanced Study of Aortic Pathology,cohort,yes,patients,aortic valve disease | ascending aortic disease,"Briefly, the ASAP cohort is a single-centre, observational cohort study of consecutive patients with aortic valve and/or ascending aortic disease undergoing elective open-heart surgery at the Cardiothoracic Surgery Unit, Karolinska University Hospital in Stockholm, Sweden.",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10961501/fullTextXML,high,Consecutive surgical patients with aortic valve disease and/or ascending aortic dilatation or aneurysm at Karolinska; a patient series with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000006,Africa Wits-INDEPTH partnership for Genomics studies,cohort,yes,population study of disease,cardiometabolic disease,"Africa Wits-INDEPTH partnership for Genomic studies (AWI-Gen) was established to examine genomic, environmental and behavioural factors influencing body composition and cardiometabolic diseases and traits in African populations.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11790221/,medium,"Population-based adult cohort whose stated purpose is cardiometabolic disease and its genomic, environmental and behavioural risk factors, so a population study of one disease family; 'environmental' here means sociodemographic and lifestyle variables collected by questionnaire (a pesticide-exposure item among many), not an exposure-centred design.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000007,Arthritis Research UK Osteoarthritis Genetics,cohort,yes,patients,osteoarthritis,"Arthritis Research UK Osteoarthritis Genetics (arcOGEN) is a collection of 7410 unrelated, UK-based individuals of European ancestry with knee and/or hip osteoarthritis from the arcOGEN Consortium (Zeggini et al., 2012).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8459317/fullTextXML,high,Case collection of people with severe knee and/or hip osteoarthritis (with unrelated controls) for genome-wide association; a disease cohort with no exposure component.,"Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000008,Asian Cancer Project,cohort,yes,patients,breast cancer,"In the present analysis, we attempted to replicate these associations using the BCAC component of COGS, comprising 53 835 female breast cancer cases and 50 156 controls (Table 1).",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4204770/fullTextXML,medium,"Thai breast cancer case-control study contributing cases and controls to the BCAC/COGS analysis (its Table 1 lists the contributing studies; the same paper says the ACP study is funded by the Breast Cancer Research Trust, UK); the cached text has no sentence describing ACP's own recruitment directly.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000009,Aspirin for Asymptomatic Atherosclerosis Study,cohort,yes,at risk,cardiovascular disease | atherosclerosis,"involving 28,980 men and women aged 50 to 75 years living in central Scotland, free of clinical cardiovascular disease, recruited from a community health registry, and had an ABI screening test. Of those, 3350 with a low ABI (< or = 0.95) were entered into the trial, which was powered to detect a 25% proportional risk reduction in events.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A20197530+AND+SRC%3AMED&format=json&resultType=core,high,"General-population screening trial: people free of clinical cardiovascular disease were entered only if they had a low ankle brachial index, a marker of asymptomatic atherosclerosis and higher cardiovascular risk, so the trial cohort is selected for disease risk; aspirin is a medication, not an environmental exposure.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000010,AtheroExpress,cohort,yes,patients,atherosclerosis | carotid stenosis,A data linkage study was performed using patients from the Athero-Express biobank study who underwent CEA in two Dutch tertiary referral hospitals between 2002 and 2020.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13308645/,high,"Biobank of patients undergoing carotid endarterectomy and other vascular surgery for atherosclerotic disease, with plaque tissue and follow-up for cardiovascular events; a patient cohort with no exposure component.","Claude Fable 5.1 (Anthropic), 2026-09",
COHO:0000011,Atherosclerosis Risk in Communities Study,cohort,yes,population study of disease,atherosclerosis | cardiovascular disease,"Atherosclerosis Risk in Communities (ARIC) is a new prospective study to investigate the etiology of atherosclerosis and its clinical sequelae and variation in cardiovascular risk factors, medical care, and disease by race, sex, place, and time.",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID%3A2646917+AND+SRC%3AMED&format=json&resultType=core,high,"Community-based general population cohort set up to study atherosclerosis and cardiovascular disease, like Framingham; exposures are measured only as risk factors among many variables.","Claude Fable 5.1 (Anthropic), 2026-09",
