ID,label,type,participants,counts,cases,controls,year,quote,source,quote verified,confidence,needs,note,batch
COHO:0000002,1000 Genomes,cohort,2504,individuals from 26 populations with reconstructed genomes (final phase 3),,,2015,"Here we report completion of the project, having reconstructed the genomes of 2,504 individuals from 26 populations using a combination of low-coverage whole-genome sequencing, deep exome sequencing, and dense microarray genotyping.",PMID:26432245,yes,high,,"Phase 3 completion paper, the project's final report; earlier phases were smaller.",s001
COHO:0000003,AddNeuroMed Cohort,cohort,781,individuals enrolled at baseline,,,,The AddNeuroMed study was established in 2006 and enrolled 781 individuals at baseline.,PMID:31650008,yes,medium,,"From a comparison of six data sets, not AddNeuroMed's own design paper. The example study (PMID:21116278) says 281 AddNeuroMed subjects were selected and genotyped (94 AD, 96 MCI, 91 controls), an analysed subset. The design paper (Lovestone et al. 2007, J Nutr Health Aging, PMID:17653500) was not read.",s001
COHO:0000004,Adenoma Prevention with Celecoxib trial,cohort,2035,subjects randomised to placebo or celecoxib,,,,"The trial randomized 2,035 subjects to receive either placebo, celecoxib 200 mg twice daily, or celecoxib 400 mg twice daily.",PMID:19336730,yes,high,,"The full text gives the arms: placebo 679, celecoxib 200 mg 685, celecoxib 400 mg 671; 933 patients took part in the 5-year extension.",s001
COHO:0000005,Advanced Study of Aortic Pathology,cohort,600,patients in the original ASAP study population (operated 2007-2013),,,2013,Analysis of the clinical outcomes (aortic events and survival) was performed in 566 of the original 600 patients.,PMID:40207537,yes,medium,,"PMID:40207537 describes the ASAP population as patients operated between January 17, 2007 and February 14, 2013; its abstract speaks of 570 patients. The definition source PMID:38508639 counts ASAP together with its follow-on DAVAACA study: 1180 operated patients included (28 June 2017), 1034 analysed. The original ASAP design paper was not read; it would settle the enrolled number.",s001
COHO:0000006,Africa Wits-INDEPTH partnership for Genomics studies,cohort,12032,participants enrolled in Wave 1 (baseline),,,2017,"During Wave 1 (2013–17), 12 032 participants were enrolled.",PMID:39899987,yes,high,,"Cohort profile. Wave 2 (2018-22) collected data on 7804 participants (7225 recalled and 579 new participants recruited at Dikgale/DIMAMO); no source states the total ever enrolled, so the baseline count is given.",s001
COHO:0000007,Arthritis Research UK Osteoarthritis Genetics,cohort,7410,arcOGEN osteoarthritis cases in the GWAS (controls came from other UK studies),7410,11009,2012,"We undertook a large genome-wide association study (GWAS) in 7410 unrelated and retrospectively and prospectively selected patients with severe osteoarthritis in the arcOGEN study, 80% of whom had undergone total joint replacement, and 11 009 unrelated controls from the UK.",PMID:22763110,yes,medium,,"The 11 009 controls were publicly available data from WTCCC2, ALSPAC, T1DGC and People of the British Isles, not recruited by arcOGEN, so participants counts the cases only; no source states a case-plus-control total. The example study (PMID:34450027) likewise calls arcOGEN 'a collection of 7410 unrelated, UK-based individuals of European ancestry with knee and/or hip osteoarthritis'. A further 2409 arcOGEN cases were used for de-novo replication.",s001
COHO:0000008,Asian Cancer Project,cohort,,cases and controls contributed to the BCAC COGS genotyping (analysed subset),423,636,2014,Asian Cancer Project (ACP) Thailand 636 423 92 53,https://pmc.ncbi.nlm.nih.gov/articles/PMC4204770/,yes,low,,"Only source is a row of Table 1 of PMID:24943594 (columns Controls, Cases, ER+, ER−), i.e. the ACP samples in the BCAC COGS analysis, not the study's own enrolment; no sentence states a total. Europe PMC finds no ACP design paper (only this and PMID:24548884). The study's own description (e.g. BCAC supplementary Table S1) would settle the enrolled number.",s001
COHO:0000009,Aspirin for Asymptomatic Atherosclerosis Study,cohort,3350,participants randomly assigned to aspirin or placebo,,,,The 3350 remaining were randomly assigned to aspirin or placebo.,PMID:18762476,yes,high,,"The main trial report (PMID:20197530) abstract says the trial involved 28,980 men and women screened by ABI and 'Of those, 3350 with a low ABI' (the Europe PMC abstract text is truncated after that); the screened population was 28 980, the randomised trial cohort 3350.",s001
COHO:0000010,AtheroExpress,cohort,3500,"patients included in the biobank (stated as a lower bound, 'over 3,500')",,,,"The current number of included AE patients is over 3,500, some 2,400 patients underwent carotid endarterectomy, almost 700 “femoral” patients had surgery, and well over 70 other types of arteries were operated on.",https://research.umcutrecht.nl/athero-express/,yes,medium,,"The website states 'over 3,500' without a date, so 3500 is a lower bound. The example study (PMID:33784435) used a subset of 144 plaques. The design paper (PMID:15678794) describes the original design only; a recent cohort profile would give the exact current number.",s001
COHO:0000011,Atherosclerosis Risk in Communities Study,cohort,15792,Black and White participants recruited from the 4 communities,,,,"The ARIC is a population-based epidemiologic study among a total of 15,792 Black and White participants recruited from 4 communities (17).",PMID:35769078,yes,high,,"The design paper (PMID:2646917) gives the planned size: '4,000 adults aged 45-64 years will be examined twice' in each of four communities. The achieved number is taken from the example study, since no cohort profile was read.",s001
COHO:0000012,Atopic Dermatitis Research Network,cohort aggregation,2862,participants with atopic dermatitis enrolled in the ADRN registry at 9 academic centres,,,,"Participants with AD (N = 2862) whose disease was categorized as mild (11.6%), moderate (58.0%), or severe (30.4%) based on Rajka-Langeland scoring were enrolled.",PMID:37182563,yes,medium,,"Network-level registry paper (abstract read via Europe PMC). The network's website says only that it 'will be enrolling large numbers of people with AD'; the example study (PMID:34536413) pools ADRN with TOPMed and CAAPA (N=21,901 overall) without an ADRN-only count in the text read. The registry may count only AD participants; non-atopic controls enrolled in individual ADRN studies are not included.",s001
COHO:0000013,Australia Cancer Study,cohort,,,,,,,,,low,,"Read the definition source PMID:18086758 (full text via Europe PMC PDF): it says only that recruitment of cases 'through the New South Wales and Victorian Cancer Registries was conducted in parallel under a separately funded study: the Australian Cancer Study', and gives AOCS-level numbers without an ACS-specific count. The example study PMID:20852632 (PMC3020231) names the Australian Cancer Study (Ovarian Cancer) as an author group only. An ACS ovarian-cancer design paper or OCAC study table (usually AUS = AOCS+ACS combined) would settle it.",s001
