ID	label	proposed type	definition	source URL	source PMID	quote	quote verified	confidence	remark
COHO:0000002	1000 Genomes	cohort	A cohort of individuals from 26 populations whose genomes are sequenced and genotyped by the 1000 Genomes Project to catalogue human genetic variation and provide a reference for studies of common disease.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22A+global+reference+for+human+genetic+variation%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:26432245	reconstructed the genomes of 2,504 individuals from 26 populations	yes	high	
COHO:0000003	AddNeuroMed Cohort	cohort	A cohort of people with Alzheimer disease, mild cognitive impairment and healthy cognition, established in 2006 at centres in Finland, Italy, Greece, Poland, France and the United Kingdom to investigate longitudinal brain changes using magnetic resonance imaging.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC6804515/unicode	PMID:31650008	The primary goal of AddNeuroMed has been to assess longitudinal MRI changes in AD, MCI, and healthy controls	yes	medium	
COHO:0000004	Adenoma Prevention with Celecoxib trial	cohort	A randomised trial cohort of adults at high risk of recurrent colorectal adenomas, recruited at centres in the United States, Australia, Canada and Great Britain, comparing celecoxib with placebo for prevention of colorectal adenomas and assessment of treatment safety.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2976587/unicode	PMID:19336730	The APC Trial tested whether celecoxib would reduce the occurrence of endoscopically-detected colorectal adenomas.	yes	medium	
COHO:0000005	Advanced Study of Aortic Pathology	cohort	A cohort of adults undergoing elective surgery for aortic valve or ascending aortic disease at Karolinska University Hospital in Stockholm, Sweden, recruited consecutively from 2007 for observational investigation of aortic pathology.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC10961501/unicode	PMID:38508639	patients with aortic valve and/or ascending aortic disease undergoing elective open-heart surgery	yes	medium	
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	cohort	A cohort of adults in rural and urban Burkina Faso, Ghana, Kenya and South Africa, established in 2012 and followed longitudinally to investigate genomic, environmental and behavioural influences on body composition and cardiometabolic disease.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC11790221/unicode	PMID:39899987	Population-based longitudinal cohort, involving four sub-Saharan African countries representing rural and urban settings	yes	high	Proposed type change: cohort aggregation -> cohort. The profile defines AWI-Gen as a longitudinal participant cohort spanning six sites.
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	cohort	A case-control collection of people of European ancestry with severe osteoarthritis and unrelated controls from the United Kingdom, assembled for genome-wide investigation of genetic susceptibility to osteoarthritis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Identification+of+new+susceptibility+loci+for+osteoarthritis%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:22763110	patients with severe osteoarthritis in the arcOGEN study, 80% of whom had undergone total joint replacement, and 11,009 unrelated controls from the UK.	yes	medium	
COHO:0000008	Asian Cancer Project	cohort	A case-control collection of Asian women with breast cancer and controls in Thailand contributing to investigation of genetic susceptibility to breast cancer.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4204770/unicode	PMID:24943594	Asian women Asian Cancer Project (ACP) Thailand 636 423	yes	medium	Proposed type change: cohort aggregation -> cohort. The cited table identifies one Thai case-control collection. ACP here is not the Old Order Amish cohort; recruitment dates and finer location are not supplied.
COHO:0000009	Aspirin for Asymptomatic Atherosclerosis Study	cohort	A randomised trial cohort of men and women aged 50–75 years in central Scotland without clinical cardiovascular disease but with a low ankle brachial index, comparing daily aspirin with placebo during 1998–2008 for prevention of cardiovascular events.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Aspirin+for+prevention+of+cardiovascular+events%22+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:20197530	men and women aged 50 to 75 years living in central Scotland, free of clinical cardiovascular disease	yes	medium	
COHO:0000010	AtheroExpress	cohort	A biobank of patients undergoing vascular surgery at University Medical Center Utrecht and formerly Antonius Hospital Nieuwegein, with vascular tissue, molecular measurements and at least three years of follow-up to investigate atherosclerotic plaques and subsequent cardiovascular events.	https://research.umcutrecht.nl/athero-express/		Patients eligible to undergo endarterectomy of the carotid or femoral artery to treat atherosclerotic disease in the University Medical Center Utrecht	yes	high	The official site also includes aneurysm operations; the definition therefore covers vascular surgery beyond carotid endarterectomy.
COHO:0000011	Atherosclerosis Risk in Communities Study	cohort	A cohort of adults aged 45–64 years from Forsyth County, Jackson, Minneapolis suburbs and Washington County in the United States, followed prospectively to investigate atherosclerosis, cardiovascular risk factors and clinical cardiovascular disease.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=TITLE%3A%22Atherosclerosis+Risk+in+Communities%22+AND+%28TITLE%3Adesign+OR+TITLE%3Acohort%29+AND+SRC%3AMED+sort_cited%3Ay&format=json&resultType=core&pageSize=4	PMID:2646917	ARIC aims to study atherosclerosis by direct observation of the disease and by use of modern biochemistry.	yes	high	
