name,cohorts,id,label,match,candidates,note
abdominal aortic aneurysm,7,MONDO:0005350,abdominal aortic aneurysm,exact,"MONDO:0005160 aortic aneurysm (0.971) | MONDO:0005350 abdominal aortic aneurysm (0.955) | MONDO:0007031 familial abdominal aortic aneurysm (0.911) | MONDO:0012751 aortic aneurysm, familial abdominal, 3 (0.906) | MONDO:0013716 aortic aneurysm, familial abdominal, 4 (0.906) | MONDO:0012343 aortic aneurysm, familial abdominal, 2 (0.906)",
acoustic neurinoma,1,MONDO:0001569,acoustic neuroma,exact,MONDO:0001569 acoustic neuroma (0.920) | MONDO:0021221 vestibulocochlear nerve neoplasm (0.915) | MONDO:0001563 vestibulocochlear nerve disorder (0.864) | MONDO:0002555 trigeminal schwannoma (0.819) | MONDO:0002549 schwannoma of twelfth cranial nerve (0.817) | MONDO:0003980 schwannoma of jugular foramen (0.813) | MONDO:0007039 NF2-related schwannomatosis (lex),
acute appendicitis,1,MONDO:0005649,appendicitis,exact,"MONDO:0007148 appendicitis, proneness to (0.879) | MONDO:1013684 appendicitis, non-human animal (0.874) | MONDO:0043994 acute cholecystitis (0.874) | MONDO:0001031 purulent acute otitis media (0.870) | MONDO:0001947 suppurative thyroiditis (0.865) | MONDO:0001171 acute salpingo-oophoritis (0.863) | MONDO:0005649 appendicitis (lex) | MONDO:0018016 classic neuroendocrine tumor of appendix (lex)",
acute cardiac event,1,MONDO:0005542,acute coronary syndrome,judged,"MONDO:0004781 acute myocardial infarction (0.929) | MONDO:1013895 acute heart disease, non-human animal (0.918) | MONDO:0001090 acute anterolateral myocardial infarction (0.914) | MONDO:0001089 acute inferolateral myocardial infarction (0.913) | MONDO:0001088 acute inferoposterior infarction (0.907) | MONDO:0005542 acute coronary syndrome (0.892) | MONDO:0017217 visceral calciphylaxis (lex)",nearest term
acute coronary syndrome,3,MONDO:0005542,acute coronary syndrome,exact,MONDO:0004781 acute myocardial infarction (0.927) | MONDO:0001089 acute inferolateral myocardial infarction (0.917) | MONDO:0001090 acute anterolateral myocardial infarction (0.917) | MONDO:0005542 acute coronary syndrome (0.916) | MONDO:0001088 acute inferoposterior infarction (0.912) | MONDO:0041656 ST-elevation myocardial infarction (0.898) | MONDO:0012727 Kawasaki disease (lex),
acute coronary syndromes,1,MONDO:0005542,acute coronary syndrome,exact,"MONDO:0004781 acute myocardial infarction (0.921) | MONDO:0001089 acute inferolateral myocardial infarction (0.912) | MONDO:0001090 acute anterolateral myocardial infarction (0.912) | MONDO:0001088 acute inferoposterior infarction (0.907) | MONDO:0005542 acute coronary syndrome (0.901) | MONDO:1013895 acute heart disease, non-human animal (0.890) | MONDO:0012727 Kawasaki disease (lex)",
acute kidney injury,1,MONDO:0002492,acute kidney injury,exact,"MONDO:1013530 acute kidney injury, non-human animal (0.948) | MONDO:0006637 acute kidney tubular necrosis (0.938) | MONDO:1013404 acute kidney tubular necrosis, non-human animal (0.929) | MONDO:0002492 acute kidney injury (0.927) | MONDO:0041295 acute papillary necrosis (0.905) | MONDO:1017840 acute-on-chronic kidney disease, non-human animal (0.899)",
acute lymphoblastic leukaemia,2,MONDO:0004967,acute lymphoblastic leukemia,judged,"MONDO:0004967 acute lymphoblastic leukemia (0.973) | MONDO:1013088 acute lymphoblastic leukemia, non-human animal (0.946) | MONDO:0013108 leukemia, acute lymphocytic, susceptibility to, 1 (0.936) | MONDO:0009539 lymphoblastic leukemia, acute, with lymphomatous features (0.922) | MONDO:0014241 leukemia, acute lymphoblastic, susceptibility to, 3 (0.916) | MONDO:0019460 acute leukemia of ambiguous lineage (0.914) | MONDO:0000814 B-cell adult acute lymphocytic leukemia (lex) | MONDO:0004963 T-cell acute lymphoblastic leukemia (lex)",
acute lymphoblastic leukemia,4,MONDO:0004967,acute lymphoblastic leukemia,exact,"MONDO:0004967 acute lymphoblastic leukemia (0.972) | MONDO:1013088 acute lymphoblastic leukemia, non-human animal (0.956) | MONDO:0013108 leukemia, acute lymphocytic, susceptibility to, 1 (0.930) | MONDO:0022380 acute lymphoblastic leukemia congenital sporadic aniridia (0.920) | MONDO:0009539 lymphoblastic leukemia, acute, with lymphomatous features (0.913) | MONDO:0014241 leukemia, acute lymphoblastic, susceptibility to, 3 (0.909) | MONDO:0000814 B-cell adult acute lymphocytic leukemia (lex)",
acute myeloid leukaemia,4,MONDO:0018874,acute myeloid leukemia,judged,MONDO:0018874 acute myeloid leukemia (0.972) | MONDO:0004996 childhood acute myeloid leukemia (0.968) | MONDO:0018872 acute megakaryoblastic leukemia (0.968) | MONDO:0017858 acute erythroid leukemia (0.968) | MONDO:0020320 acute myeloblastic leukemia with maturation (0.967) | MONDO:0005223 acute myeloid leukemia with minimal differentiation (0.966) | MONDO:0015667 acute myeloid leukemia by FAB classification (lex),the synonym match gave the FAB-classification term
acute myeloid leukemia,2,MONDO:0018874,acute myeloid leukemia,exact,MONDO:0018874 acute myeloid leukemia (0.972) | MONDO:0004996 childhood acute myeloid leukemia (0.967) | MONDO:0020320 acute myeloblastic leukemia with maturation (0.967) | MONDO:0005223 acute myeloid leukemia with minimal differentiation (0.967) | MONDO:0018872 acute megakaryoblastic leukemia (0.966) | MONDO:0017858 acute erythroid leukemia (0.966) | MONDO:0015667 acute myeloid leukemia by FAB classification (lex),
acute myocardial infarction,2,MONDO:0004781,acute myocardial infarction,exact,MONDO:0001089 acute inferolateral myocardial infarction (0.966) | MONDO:0001088 acute inferoposterior infarction (0.964) | MONDO:0004781 acute myocardial infarction (0.963) | MONDO:0001090 acute anterolateral myocardial infarction (0.959) | MONDO:0041656 ST-elevation myocardial infarction (0.910) | MONDO:0005068 myocardial infarction (0.894),
acute respiratory distress syndrome,2,MONDO:0006502,acute respiratory distress syndrome,exact,"MONDO:1013004 acute respiratory distress syndrome, non-human animal (0.947) | MONDO:0006502 acute respiratory distress syndrome (0.928) | MONDO:1013003 acute lung injury, non-human animal (0.891) | MONDO:0100130 adult acute respiratory distress syndrome (0.883) | MONDO:0001208 acute respiratory failure (0.867) | MONDO:0015796 acute lung injury (0.865)",
acute respiratory infections,1,MONDO:0024355,respiratory tract infectious disorder,judged,"MONDO:0005091 severe acute respiratory syndrome (0.926) | MONDO:0001208 acute respiratory failure (0.890) | MONDO:0006502 acute respiratory distress syndrome (0.888) | MONDO:0005709 common cold (0.883) | MONDO:1017104 acute bronchitis, non-human animal (0.879) | MONDO:1013004 acute respiratory distress syndrome, non-human animal (0.866) | MONDO:0100096 COVID-19 (lex)",acute
acute stroke,1,MONDO:0005098,stroke disorder,judged,"MONDO:0020349 acute motor axonal neuropathy (0.862) | MONDO:0003337 acute hemorrhagic encephalitis (0.861) | MONDO:0004781 acute myocardial infarction (0.861) | MONDO:0001956 capillary leak syndrome (0.859) | MONDO:0041656 ST-elevation myocardial infarction (0.859) | MONDO:0016394 sporadic infantile bilateral striatal necrosis (0.857) | MONDO:0010829 cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 2 (lex) | MONDO:0005098 stroke disorder (lex)",
acute vascular events,1,,,none,MONDO:0001956 capillary leak syndrome (0.923) | MONDO:0003337 acute hemorrhagic encephalitis (0.861) | MONDO:0850421 acute hemorrhagic pancreatitis (0.850) | MONDO:0011716 acute hemorrhagic leukoencephalitis (0.848) | MONDO:0004781 acute myocardial infarction (0.848) | MONDO:0005542 acute coronary syndrome (0.845) | MONDO:0005098 stroke disorder (lex),stroke and myocardial infarction together; no single term
acute/recent HIV infection,1,MONDO:0005109,HIV infectious disease,judged,"MONDO:0004951 susceptibility to HIV infection (0.843) | MONDO:0100371 acute hepatitis C virus infection (0.819) | MONDO:0100370 acute hepatitis B virus infection (0.814) | MONDO:0012268 AIDS (0.810) | MONDO:1014544 acute infectious hepatopathy, non-human animal (0.792) | MONDO:0005695 central nervous system AIDS arteritis (0.790)",acute or recent
addiction,2,MONDO:0004938,substance dependence,judged,"MONDO:0005303 drug dependence (0.795) | MONDO:0001423 drug-induced mental disorder (0.772) | MONDO:0005567 substance withdrawal syndrome (0.769) | MONDO:0006731 drug-induced akathisia (0.767) | MONDO:1015136 drug intoxication, non-human animal (0.765) | MONDO:0002184 drug-induced hepatitis (0.761) | MONDO:0100460 tobacco addiction, susceptibility to (lex) | MONDO:0002046 alcohol abuse (lex)",
adiposity,1,MONDO:0011122,obesity disorder,judged,"MONDO:0021354 tumor of adipose tissue (0.924) | MONDO:0002813 lipomatous cancer (0.923) | MONDO:0007070 adiposis dolorosa (0.906) | MONDO:0044983 benign lipomatous neoplasm (0.832) | MONDO:7770113 obesity, domestic cat (0.793) | MONDO:0013483 obesity, hyperphagia, and developmental delay (0.791)","adiposity as a trait, taken as obesity"
advanced cancer,2,MONDO:0004992,cancer,judged,MONDO:0005512 malignant peritoneal mesothelioma (0.864) | MONDO:0045054 cancer-related condition (0.852) | MONDO:0017330 malignancy diagnosed during pregnancy (0.847) | MONDO:0100085 cancer of long bone of upper limb (0.838) | MONDO:0005575 colorectal cancer (0.837) | MONDO:0004719 hard palate cancer (0.837) | MONDO:0016312 5-fluorouracil poisoning (lex),advanced
advanced colorectal cancer,2,MONDO:0005575,colorectal cancer,judged,MONDO:0005575 colorectal cancer (0.932) | MONDO:0005008 colorectal adenocarcinoma (0.869) | MONDO:0004663 colon carcinoma in situ (0.868) | MONDO:0002271 colon adenocarcinoma (0.868) | MONDO:0018630 hereditary nonpolyposis colon cancer (0.867) | MONDO:0002495 colon signet ring cell adenocarcinoma (0.866),advanced
