name,cohorts,id,label,match,candidates,note
"a diet high in fatty fish, bilberries and wholegrain products",1,ECTO:2000068,exposure to dietary intervention,judged,"ECTO:0070245 exposure to dietary supplement, vitamin(s) and fatty acids via ingestion (0.754) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.734) | ECTO:0070171 exposure to omega-3- fatty acid supplement via ingestion (0.733) | ECTO:0070164 exposure to fish oil supplement via ingestion (0.729) | ECTO:0900052 exposure to omega-3 fatty acid via ingestion (0.727) | ECTO:2000068 exposure to dietary intervention (0.707)","a trial diet, so a dietary intervention"
acute maternal undernutrition during the 1944-1945 Dutch famine,1,ECTO:0800003,exposure to famine via maternal,judged,ECTO:0900506 maternal exposure to valproate semisodium (0.739) | ECTO:0070212 exposure to infant formula based on isolated amino acids and/or protein hydrolysates via ingestion (0.730) | ECTO:0800003 exposure to famine via maternal (0.725) | ECTO:0900415 maternal exposure to paracetamol (0.716) | ECTO:0900103 maternal exposure to androgen (0.716) | ECTO:0900247 maternal exposure to copper cation (0.715),
adherence to the Mediterranean diet,1,ECTO:0050001,exposure to mediterranean diet,judged,ECTO:0050001 exposure to mediterranean diet (0.835) | ECTO:2000116 exposure to dietary fat or oil intake avoidance (0.745) | ECTO:2000068 exposure to dietary intervention (0.737) | ECTO:2000117 exposure to dietary sodium intake avoidance (0.736) | ECTO:0900188 exposure to adenine via ingestion (0.722) | ECTO:0070157 exposure to olive oil (extra virgin) via ingestion (0.721),
aflatoxin,1,ECTO:0001108,exposure to aflatoxin,exact,ECTO:0001108 exposure to aflatoxin (0.928) | ECTO:9002704 exposure to aflatoxin B1 (0.923) | ECTO:0900002 exposure to aflatoxin via ingestion (0.899) | ECTO:0000524 exposure to mycotoxin (0.750) | ECTO:9002850 exposure to ochratoxin A (0.721) | ECTO:3000023 exposure to Aspergillus fumigatus (0.716),
agricultural practices,1,ECTO:1000034,exposure to farm,judged,ECTO:7000091 exposure to agricultural soil (0.912) | ECTO:1000016 exposure to agricultural wastewater treatment plant (0.893) | ECTO:9001696 exposure to agrochemical (0.853) | ECTO:1000034 exposure to farm (0.776) | ECTO:0600001 exposure to aquaculture farm (0.725) | ECTO:9002224 exposure to agmatine (0.724),the farming environment; the practices themselves have no term
agrochemicals,1,ECTO:9001696,exposure to agrochemical,judged,ECTO:9001696 exposure to agrochemical (0.921) | ECTO:7000091 exposure to agricultural soil (0.860) | ECTO:1000016 exposure to agricultural wastewater treatment plant (0.854) | ECTO:9002081 exposure to antifungal agrochemical (0.790) | ECTO:9002224 exposure to agmatine (0.769) | ECTO:9002225 exposure to agomelatine (0.765),
air pollution,6,ECTO:8000036,exposure to air pollution,exact,ECTO:8000036 exposure to air pollution (0.923) | ECTO:0800002 exposure to air pollution via maternal (0.912) | ECTO:1000032 exposure to air conditioning unit (0.823) | ECTO:0700002 exposure to aerosol via inhalation (0.813) | ECTO:8000019 exposure to environmental pollution (0.809) | ECTO:8000003 exposure to aerosolisation of dust (0.808),
air pollution exposure,1,ECTO:8000036,exposure to air pollution,exact,ECTO:0800002 exposure to air pollution via maternal (0.943) | ECTO:8000036 exposure to air pollution (0.905) | ECTO:8000002 exposure to atmospheric aerosolisation of dust (0.856) | ECTO:0700002 exposure to aerosol via inhalation (0.853) | ECTO:0080001 exposure to polycyclic hydrocarbon in air via inhalation (0.848) | ECTO:8000003 exposure to aerosolisation of dust (0.837),
air pollution exposure during pregnancy,1,ECTO:0800002,exposure to air pollution via maternal,judged,ECTO:0800002 exposure to air pollution via maternal (0.904) | ECTO:8000036 exposure to air pollution (0.817) | ECTO:2000076 exposure to pregnancy diet intake (0.794) | ECTO:0700002 exposure to aerosol via inhalation (0.792) | ECTO:0080001 exposure to polycyclic hydrocarbon in air via inhalation (0.789) | ECTO:0700001 exposure to ultrafine respirable suspended particulate matter via inhalation (0.783),
alcohol,4,ECTO:9000026,exposure to alcohol,exact,ECTO:9000026 exposure to alcohol (0.919) | ECTO:0900101 exposure to alcohol via ingestion (0.875) | ECTO:0001082 exposure to alcohol consumption (0.863) | ECTO:6000009 exposure to alcohol abuse (0.854) | ECTO:6000022 exposure to drinking behavior (0.801) | ECTO:9002168 exposure to aldehyde (0.771),
alcohol consumption,6,ECTO:0001082,exposure to alcohol consumption,exact,ECTO:0900101 exposure to alcohol via ingestion (0.917) | ECTO:9000026 exposure to alcohol (0.889) | ECTO:0001082 exposure to alcohol consumption (0.881) | ECTO:6000009 exposure to alcohol abuse (0.856) | ECTO:6000022 exposure to drinking behavior (0.828) | ECTO:0100001 exposure to drinking alcohol (0.827),
alcohol dependence,2,ECTO:6000009,exposure to alcohol abuse,judged,ECTO:0900101 exposure to alcohol via ingestion (0.883) | ECTO:9000026 exposure to alcohol (0.858) | ECTO:6000009 exposure to alcohol abuse (0.843) | ECTO:0001082 exposure to alcohol consumption (0.828) | ECTO:0100001 exposure to drinking alcohol (0.810) | ECTO:0300001 exposure to drinking alcohol via maternal (0.807),nearest term: alcohol abuse
alcohol dependence (heavy alcohol use),1,ECTO:6000009,exposure to alcohol abuse,judged,ECTO:0900101 exposure to alcohol via ingestion (0.856) | ECTO:6000009 exposure to alcohol abuse (0.820) | ECTO:0300001 exposure to drinking alcohol via maternal (0.809) | ECTO:0001082 exposure to alcohol consumption (0.807) | ECTO:0100001 exposure to drinking alcohol (0.804) | ECTO:9000026 exposure to alcohol (0.801),nearest term: alcohol abuse
alcohol misuse,1,ECTO:6000009,exposure to alcohol abuse,judged,ECTO:0900101 exposure to alcohol via ingestion (0.894) | ECTO:9000026 exposure to alcohol (0.867) | ECTO:6000009 exposure to alcohol abuse (0.860) | ECTO:0001082 exposure to alcohol consumption (0.849) | ECTO:0100001 exposure to drinking alcohol (0.804) | ECTO:0300001 exposure to drinking alcohol via maternal (0.801),
