accession_id	title	description	abstract	pubmed_ids	is_released	is_deprecated	original_cohort_matches	reviewer_notes	verified_cohort_matches	verification_status
EGAS00001004364	Whole-genome sequencing of rare disease patients in a national healthcare system	Most patients with rare diseases do not receive a molecular diagnosis and the aetiologicalvariants and mediating genes for more than half such disorders remain to be discovered. Weimplemented whole-genome sequencing (WGS) in a national healthcare system to streamlinediagnosis and to discover unknown aetiological variants, in the coding and non-coding regionsof the genome. In a pilot study for the 100,000 Genomes Project, we generated WGS data for13,037 participants, of whom 9,802 had a rare disease, and provided a genetic diagnosis to1,138 of the 7,065 patients with detailed phenotypic data. We identified 95 Mendelianassociations between genes and rare diseases, of which 11 have been discovered since 2015and at least 79 are confirmed aetiological. Using WGS of UK Biobank1, we showed that rarealleles can explain the presence of some individuals in the tails of a quantitative red blood cell(RBC) trait. Finally, we reported 4 novel non-coding variants which cause disease through thedisruption of transcription of ARPC1B, GATA1, LRBA and MPL. Our study demonstrates asynergy by using WGS for diagnosis and aetiological discovery in routine healthcare.	Most patients with rare diseases do not receive a molecular diagnosis and the aetiologicalvariants and mediating genes for more than half such disorders remain to be discovered. Weimplemented whole-genome sequencing (WGS) in a national healthcare system to streamlinediagnosis and to discover unknown aetiological variants, in the coding and non-coding regionsof the genome. In a pilot study for the 100,000 Genomes Project, we generated WGS data for13,037 participants, of whom 9,802 had a rare disease, and provided a genetic diagnosis to1,138 of the 7,065 patients with detailed phenotypic data. We identified 95 Mendelianassociations between genes and rare diseases, of which 11 have been discovered since 2015and at least 79 are confirmed aetiological. Using WGS of UK Biobank1, we showed that rarealleles can explain the presence of some individuals in the tails of a quantitative red blood cell(RBC) trait. Finally, we reported 4 novel non-coding variants which cause disease through thedisruption of transcription of ARPC1B, GATA1, LRBA and MPL. Our study demonstrates asynergy by using WGS for diagnosis and aetiological discovery in routine healthcare.		TRUE	FALSE	100,000 Genomes Project	Correct	100,000 Genomes Project	Confirmed correct (human-reviewed)
EGAS00000000137	MRCA and MRCE SNP genotypes	Gene expression levels can be an important link DNA between variation and phenotypic manifestations. Our previous map of global gene expression based on approximately 400K SNPs and 50K transcripts in 400 sib pairs from the MRCA family panel has been widely used to interpret the results of GWAS. Here, we more than double the size of our initial dataset with expression data on 550 additional individuals from the MRCE family panel using the Illumina whole genome expression array. We have used new statistical methods for dimension reduction to account for non-genetic effects in estimates of expression levels and we have also included SNPs imputed from the 1000 Genomes Project. Our methods reduced false discovery rates and increased the number of eQTLs mapped either locally or at a distance (i.e. in cis or trans) from 1,534 in the MRCA dataset to 4,452 (with <5% FDR). Imputation of 1000 Genomes SNPs further increased the number of eQTLs to 7,302. Using the same methods and imputed SNPs in the newly acquired MRCE dataset we identified eQTLs for 9000 genes. The combined results identify strong local and distant effects for transcripts from 14,177 genes. Our eQTL database (http://www.hsph.harvard.edu/faculty/liming-liang/software/eqtl/) based on these results is freely available to help define the function of disease-associated variants.			TRUE	FALSE	1000 Genomes	Incorrect should be  MRCE family panel	MRCE family panel	Corrected by reviewer
EGAS00001000071	Tetralogy of Fallot Exome Trios	Exome sequencing of 30 parent-offspring trios to &gt;50X mean depth, where the offspring has sporadic TOF, to identify potential causal de novo mutations. We will use the exome plus design for pulldown that incorporates ~6.8Mb of additional regulatory sequences in addition to the ~50Mb GENCODE exome.	Tetralogy of Fallot (TOF) is one of the most recognisable congenital heart defects, comprising four distinct anatomical anomalies: pulmonary stenosis, ventral septal defect, over-riding aorta and right ventricular hypertrophy. TOF occurs in 1/3000 live births and accounts for about 10% of all serious congenital heart disease. About 20% of TOF is caused by cytogenetically visible chromosomal abnormalities (i.e. Trisomy chr21). A recent study has shown that the prevalence of de novo CNVs in sporadic patients with TOF is about 10%, which is 5-10x higher than in controls (Greenway et al 2009 Nature Genetics). Mutations in 7 genes (GATA4, TBX1, TBX5, NKX2-5, NOTCH1, NOTCH2 and JAG1) have been shown to cause TOF, although these explain only a small fraction of TOF cases, and mutations in these genes more typically cause other types of congenital heart defect. About 70% of sporadic cases of TOF remain unexplained at the genetic level. We perform exome sequencing on 30 parent-offspring trios to &gt;50X mean depth, where the offspring has sporadic TOF, to identify potential causal de novo mutations using software developed in the Hurles group for the de novo mutation analyses in the 1000 genomes project. We use the ExomePlus design for target preparation that incorporates ~6.8Mb of additional regulatory sequences in addition to the ~50Mb GENCODE exome.		TRUE	FALSE	1000 Genomes	incorrect		Confirmed no valid match (human-reviewed)
EGAS00001000324	The map of variability of human microRNAs		MicroRNAs (miRNAs) are key components of the gene regulatory network in a wide range of species. During the last years these regulatory elements have been involved in an increasing range of diseases. Consequently, the availability of a comprehensive compilation of the map of natural variability in healthy population seems an obvious requirement for future research on miRNA-related pathologies. The analysis of the data available on 14 populations of the 1000 genomes project, supplemented with data extracted from 60 new exomes of healthy individuals from a southern Spain population, sequenced in the context of the Medical Genome Project, has allowed us to derive an accurate map of miRNA variability. Despite the common belief that miRNAs are highly conserved elements, the observation based on the sequences of 1152 individuals analysed indicates that the amount of variability doubles what it was previously expected. A total of 527 variants were found. Among these, 44 variants affected the recognition region of the corresponding miRNA and were found in 43 different miRNAs, 26 of which are known to be involved in almost 57 diseases. Different parts of the mature structure of the microRNA were affected at different degrees by variants, which suggest the existence of a selective pressure that depends on the relative functional impact of the change. Moreover, 41 variants show a significant deviation from the Hardy-Weinberg equilibrium, which supports the existence of a selective process against some alleles. The average number of variants per individual found in miRNAs was of 28. Despite miRNAs were thought to be a highly conserved genomic element, our study reports a level of variability comparable to what it was observed for coding genes.		FALSE	FALSE	1000 Genomes	Correct	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001000595	Functional_characterization_of_Th17_cells___Pilot	Our work in IBD genetics via GWAS and Immunochip has identified 163 genomic lociassociated with disease. We are currently following up the genetic architecture of IBD withprojects on fine-mapping from Immunochip and 1000 genomes imputation, as well as lowcoverage sequencing from the current QQ. In parallel with these further genetic experiments,we would like to begin to explore potential functional mechanisms of identified susceptibilityloci.This project is a pilot aimed at one possible cellular niche critical to IBD development: theTh17 subset of T helper cells. Existing literature suggests that these cells are an importantsubset in the development of a variety of inflammatory disorders. Genetic data support aspecific role in IBD, as nearly every gene involved in the differentiation signalling pathway forTh17 has been associated. Here we propose to generate 4 RNAseq expression profiles eachfrom five healthy volunteers: PBMCs, Th0 (naive T cells), Th17 stimulated and Th17 resting(the last two derived via negative selection after in vitro differentiation). These individuals willhave genotype data from Immunochip.The main outcomes of this pilot will be to determine the specificity of expression profilesacross different blood cell types and conditions, as well as to provide a first look at possibledifferential allele specific expression of IBD loci in different cell types and conditions. Theultimate aim if these results look promising would be to seek funding to scale up the numberof samples and include both controls and IBD cases.	Our work in IBD genetics via GWAS and Immunochip has identified 163 genomic lociassociated with disease. We are currently following up the genetic architecture of IBD withprojects on fine-mapping from Immunochip and 1000 genomes imputation, as well as lowcoverage sequencing from the current QQ. In parallel with these further genetic experiments,we would like to begin to explore potential functional mechanisms of identified susceptibilityloci.This project is a pilot aimed at one possible cellular niche critical to IBD development: theTh17 subset of T helper cells. Existing literature suggests that these cells are an importantsubset in the development of a variety of inflammatory disorders. Genetic data support aspecific role in IBD, as nearly every gene involved in the differentiation signalling pathway forTh17 has been associated. Here we propose to generate 4 RNAseq expression profiles eachfrom five healthy volunteers: PBMCs, Th0 (naive T cells), Th17 stimulated and Th17 resting(the last two derived via negative selection after in vitro differentiation). These individuals willhave genotype data from Immunochip.The main outcomes of this pilot will be to determine the specificity of expression profilesacross different blood cell types and conditions, as well as to provide a first look at possibledifferential allele specific expression of IBD loci in different cell types and conditions. Theultimate aim if these results look promising would be to seek funding to scale up the numberof samples and include both controls and IBD cases.		FALSE	FALSE	1000 Genomes	Correct	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001000642	Quantification of chromosomal copy number aberrations by shallow whole-genome sequencing	Detection of DNA copy number aberrations by shallow whole-genome sequencing (WGS) faces many challenges including lack of completion and errors in the human reference genome, repetitive sequences, polymorphisms, variable sample quality, and biases in the sequencing procedures.Formalin-fixed paraffin-embedded (FFPE) archival material, the analysis of which is important for studies of cancer, presents particular analytical difficulties due to degradation of the DNA and frequent lack of matched reference samples. We present a robust, cost-effective WGS method for DNA copy number analysis that addresses these challenges more successfully than currently available procedures. In practice very useful profiles can be obtained with 0.1 fold genome coverage. We improve on previous methods by; first, implementing a combined correction for sequence mappability and GC content, and second, applying this procedure to sequence data from the 1000 Genomes Project in order to develop a blacklist of problematic genome regions. A small subset of these blacklisted regions were previously identified by ENCODE, but the vast majority are novel unappreciated problematic regions. Our procedures are implemented in a pipeline called QDNAseq. We have analyzed over 1,000 samples, most of which were obtained from the fixed tissue archives of over 25 institutions.We demonstrate that for most samples our sequencing and analysis procedures yield genome profiles with noise levels near the statistical limit imposed by read counting. The described procedures also provide better correction of artifacts introduced by low DNA quality than prior approaches, and better copy number data than high-resolution microarrays at substantially lower cost.	Detection of DNA copy number aberrations by shallow whole-genome sequencing (WGS) faces many challenges including lack of completion and errors in the human reference genome, repetitive sequences, polymorphisms, variable sample quality, and biases in the sequencing procedures.Formalin-fixed paraffin-embedded (FFPE) archival material, the analysis of which is important for studies of cancer, presents particular analytical difficulties due to degradation of the DNA and frequent lack of matched reference samples. We present a robust, cost-effective WGS method for DNA copy number analysis that addresses these challenges more successfully than currently available procedures. In practice very useful profiles can be obtained with 0.1 fold genome coverage. We improve on previous methods by; first, implementing a combined correction for sequence mappability and GC content, and second, applying this procedure to sequence data from the 1000 Genomes Project in order to develop a blacklist of problematic genome regions. A small subset of these blacklisted regions were previously identified by ENCODE, but the vast majority are novel unappreciated problematic regions. Our procedures are implemented in a pipeline called QDNAseq. We have analyzed over 1,000 samples, most of which were obtained from the fixed tissue archives of over 25 institutions.We demonstrate that for most samples our sequencing and analysis procedures yield genome profiles with noise levels near the statistical limit imposed by read counting. The described procedures also provide better correction of artifacts introduced by low DNA quality than prior approaches, and better copy number data than high-resolution microarrays at substantially lower cost.	[25236618]	TRUE	FALSE	1000 Genomes	Correct	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001001184	Institut Curie Neuroblastoma Whole Genome Sequencing Diagnosis Relapse	Neuroblastoma, a clinically heterogeneous pediatric cancer, is characterized by distinct genomic profiles but few recurrent mutations. As neuroblastoma is expected to have high degree of genetic heterogeneity, study of neuroblastoma's clonal evolution with deep coverage whole-genome sequencing of diagnosis and relapse samples will lead to a better understanding of the molecular events associated with relapse.  Samples were included in this study if sufficient DNA from constitutional, diagnosis and relapse tumors was available for WGS.  Whole genome sequencing was performed on trios (constitutional, diagnose and relapse DNA) from eight patients using Illumina Hi-seq2500 leading to paired-ends (PE) 90x90 for 6 of them and 100x100 for two. Expected coverage for sample NB0175 100x100bp was 30X for tumor and constitutional samples. For the seven other patients expected coverage was 80X for tumor samples with PE 100x100, 100X in the other tumor samples and 50X for all constitutional samples (see table 1). Following alignment with BWA (Li et al., Oxford J, 2009 Jul) allowing up to 4% of mismatches, bam files were cleaned up according to the Genome Analysis Toolkit (GATK) recommendations (Van der Auwera et al., Current Protocols in Bioinformatics, 2013, picard-1.45, GenomeAnalysisTK-2.2-16).   Variant calling was performed in parallel using 3 variant callers: GenomeAnalysisTK-2.2-16, Samtools-0.1.18 and MuTect-1.1.4 (McKenna et al., Genome Res, 2010; Li et al., Oxford J, 2009 Aug; Cibulskis et al., Nature, 2013). Annovar-v2012-10-23 with cosmic-v64 and dbsnp-v137 were used for the annotation and RefSeq for the structural annotation. For GATK and Samtools,  single nucleotide variants (SNVs) with a quality under 30, a depth of coverage under 6 or with less than 2 reads supporting the variant were filter out. MuTect with parameters following GATK and Samtools thresholds have been used to filter our irrelevant variants. .SNVs within and around exons of coding genes overlapping splice sites.. Then,variants reported in more than 1% of the population in the 1000 genomes (1000gAprl_2012) or Exome Sequencing Project (ESP6500) have been discarded in order to filter polymorphisms. Finally, synonymous variants were filtered out. MuTect focuses on somatic by filtering with constitutional sample. Mpileup comparison between constitutional and somatic DNAs  allowed us to focus also on tumor specific SNVs with GATK and Samtools. Finally, every SNV called by our pipeline and also supported in any constitutional samples were filtered our in order to prevent putative constitutional DNA coverage deficiency.   Then we analyzed CNVs (copy number variants) with HMMcopy-v0.1.1 (Gavin et al., Genome Res, 2012) and control-FREEC-v6.7 (Boeva et al., Bioinformatics 2011) with a respective window of 2000bp and 1000 bp, and auto-correction of normal contamination of tumor samples for Control-FREEC.  Finally we explored Structural variants (SVs) including deletions, inversions, tandem duplications and translocations using DELLY-v0.5.5 with standard parameters (Rausch et al., Oxford J, 2012). In tumors, at least 10 supporting reads were required to make a call and 5 supporting reads for the sample NB0175 with a coverage of only 40X (see table 2). To predict SVs in constitutional samples for subsequent somatic filtering, only 2 supporting reads were required in order not to miss one. To identify somatic events, all the SVs in each normal sample were first flanked by 500 bp in both directions and any SVs called in a tumor sample which was in the combined flanked regions of respective normal sample was removed (see graph 1). Deletions with more than 5 genes impacted or larger than 1Mb and inversions or tandem duplications covering more than 4 genes, were removed. We focused on exonic and splicing events for deletions, inversions, and tandem duplications. For translocation, we keep all SVs that occurred in intronic, exonic, 5'UTR, upstream or splicing regions.  Bioinformatics detection of variations with Deep sequencing approach Once PE reads merged and adaptors trimmed by SeqPrep with default parameters, merged reads were aligned via the BWA (Li H. and Durbin R. 2009 PMID 19451168) allowing up to 1 differences in the 22-base-long seeds and reporting only unique alignments. Only reads having a mapping quality 20 or more have been further analysed. Variant calling software was not used, since we aimed to predict variations at low frequencies, observed in less than 1% of reads. Such variants require a custom approach. Using DepthOfCoverage functions of the Genome Analysis Toolkit (GATK) v2.13.2 (McKenna A, et al., 2010 Genome Research PMID: 20644199), we focused on high quality coverage of bases A, C, G and T at the targeted variant position. Depth of coverage of each base following a mapping quality higher than 20 and a base quality higher than 10 have been taken into account in order to focus only on high quality data. Aiming to determine the background level of variability at the studied regions, 10 control samples were included in the analysis. The same approach and filtering criteria have been applied as introduced above over the entire amplicons.  In order to highlight variants, for each sample the frequencies of each bases at each amplicon position were then compared to those observed in the set of controls. Statistical analyses were performed with the R statistical software (http://www.R-project.org). Fisher’s exact two-sided tests with a Bonferroni correction were performed to compare percentages of bases between the data sets, i.e. for a given base between a case and the controls. Finally, significant variations were filtered-in once (i) a significant increase in the percentage of avariant base and (ii) a significant decrease in the percentage of it's reference base following our p.values criteria was observed (p.val &lt; 0.05).	Neuroblastoma, a clinically heterogeneous pediatric cancer, is characterized by distinct genomic profiles but few recurrent mutations. As neuroblastoma is expected to have high degree of genetic heterogeneity, study of neuroblastoma's clonal evolution with deep coverage whole-genome sequencing of diagnosis and relapse samples will lead to a better understanding of the molecular events associated with relapse.  Samples were included in this study if sufficient DNA from constitutional, diagnosis and relapse tumors was available for WGS.  Whole genome sequencing was performed on trios (constitutional, diagnose and relapse DNA) from eight patients using Illumina Hi-seq2500 leading to paired-ends (PE) 90x90 for 6 of them and 100x100 for two. Expected coverage for sample NB0175 100x100bp was 30X for tumor and constitutional samples. For the seven other patients expected coverage was 80X for tumor samples with PE 100x100, 100X in the other tumor samples and 50X for all constitutional samples (see table 1). Following alignment with BWA (Li et al., Oxford J, 2009 Jul) allowing up to 4% of mismatches, bam files were cleaned up according to the Genome Analysis Toolkit (GATK) recommendations (Van der Auwera et al., Current Protocols in Bioinformatics, 2013, picard-1.45, GenomeAnalysisTK-2.2-16).   Variant calling was performed in parallel using 3 variant callers: GenomeAnalysisTK-2.2-16, Samtools-0.1.18 and MuTect-1.1.4 (McKenna et al., Genome Res, 2010; Li et al., Oxford J, 2009 Aug; Cibulskis et al., Nature, 2013). Annovar-v2012-10-23 with cosmic-v64 and dbsnp-v137 were used for the annotation and RefSeq for the structural annotation. For GATK and Samtools,  single nucleotide variants (SNVs) with a quality under 30, a depth of coverage under 6 or with less than 2 reads supporting the variant were filter out. MuTect with parameters following GATK and Samtools thresholds have been used to filter our irrelevant variants. .SNVs within and around exons of coding genes overlapping splice sites.. Then,variants reported in more than 1% of the population in the 1000 genomes (1000gAprl_2012) or Exome Sequencing Project (ESP6500) have been discarded in order to filter polymorphisms. Finally, synonymous variants were filtered out. MuTect focuses on somatic by filtering with constitutional sample. Mpileup comparison between constitutional and somatic DNAs  allowed us to focus also on tumor specific SNVs with GATK and Samtools. Finally, every SNV called by our pipeline and also supported in any constitutional samples were filtered our in order to prevent putative constitutional DNA coverage deficiency.   Then we analyzed CNVs (copy number variants) with HMMcopy-v0.1.1 (Gavin et al., Genome Res, 2012) and control-FREEC-v6.7 (Boeva et al., Bioinformatics 2011) with a respective window of 2000bp and 1000 bp, and auto-correction of normal contamination of tumor samples for Control-FREEC.  Finally we explored Structural variants (SVs) including deletions, inversions, tandem duplications and translocations using DELLY-v0.5.5 with standard parameters (Rausch et al., Oxford J, 2012). In tumors, at least 10 supporting reads were required to make a call and 5 supporting reads for the sample NB0175 with a coverage of only 40X (see table 2). To predict SVs in constitutional samples for subsequent somatic filtering, only 2 supporting reads were required in order not to miss one. To identify somatic events, all the SVs in each normal sample were first flanked by 500 bp in both directions and any SVs called in a tumor sample which was in the combined flanked regions of respective normal sample was removed (see graph 1). Deletions with more than 5 genes impacted or larger than 1Mb and inversions or tandem duplications covering more than 4 genes, were removed. We focused on exonic and splicing events for deletions, inversions, and tandem duplications. For translocation, we keep all SVs that occurred in intronic, exonic, 5'UTR, upstream or splicing regions.  Bioinformatics detection of variations with Deep sequencing approach Once PE reads merged and adaptors trimmed by SeqPrep with default parameters, merged reads were aligned via the BWA (Li H. and Durbin R. 2009 PMID 19451168) allowing up to 1 differences in the 22-base-long seeds and reporting only unique alignments. Only reads having a mapping quality 20 or more have been further analysed. Variant calling software was not used, since we aimed to predict variations at low frequencies, observed in less than 1% of reads. Such variants require a custom approach. Using DepthOfCoverage functions of the Genome Analysis Toolkit (GATK) v2.13.2 (McKenna A, et al., 2010 Genome Research PMID: 20644199), we focused on high quality coverage of bases A, C, G and T at the targeted variant position. Depth of coverage of each base following a mapping quality higher than 20 and a base quality higher than 10 have been taken into account in order to focus only on high quality data. Aiming to determine the background level of variability at the studied regions, 10 control samples were included in the analysis. The same approach and filtering criteria have been applied as introduced above over the entire amplicons.  In order to highlight variants, for each sample the frequencies of each bases at each amplicon position were then compared to those observed in the set of controls. Statistical analyses were performed with the R statistical software (http://www.R-project.org). Fisher’s exact two-sided tests with a Bonferroni correction were performed to compare percentages of bases between the data sets, i.e. for a given base between a case and the controls. Finally, significant variations were filtered-in once (i) a significant increase in the percentage of avariant base and (ii) a significant decrease in the percentage of it's reference base following our p.values criteria was observed (p.val &lt; 0.05).		TRUE	FALSE	1000 Genomes	Correct	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001001478	Genotyping and imputation of 134 brain samples from the UBKEC consortium.	Brain samples were obtained from 134 individuals of European descent. All individuals were neurologically normal during life and confirmed to be neuropathologically normal by a consultant neuropathologist using histology performed on sections prepared from paraffin-embedded brain tissue blocks. The individuals sampled had a mean age at death of 59 years old (range 16–102), were mostly men (74.5%) and the most common cause of death was ischemic heart disease (44.7%).  Genomic DNA was extracted from sub-dissected samples (100–200 mg) of human post-mortem brain tissue using Qiagen’s DNeasy Blood &amp; Tissue Kit (Qiagen,UK). All samples were genotyped on the Illumina Infinium Omni1-Quad BeadChip and on the Immunochip, a custom genotyping array designed for the fine-mapping of auto-immune disorders1,49. The BeadChips were scanned using an iScan (Illumina, USA) with an AutoLoader (Illumina, USA). GenomeStudio v.1.8.X (Illumina, USA) was used for analysing the data and generating SNP calls. After standard quality controls (removal of suspected non-European descent individuals, samples with call rate &lt; 95% and checks on reported sex status, cryptic relatedness, autosomal heterozygosity rate check, monomorphic SNPs or call rate &lt; 95%, no genomic position info or redundant SNPs, pvalue for deviation from HWE &lt; 0.0001, genotyping call rate &lt; 95%, less than 2 heterozygotes present, mismatching alleles 1000G even after allowing for strand), imputation was performed using MaCH 50,51 and minimac (http://genome.sph.umich.edu/wiki/Minimac) using the European panel of the 1000 Genomes Project (March 2012: Integrated Phase I haplotype release version 3, based on the 2010-11 data freeze and 2012-03-14 haplotypes). We used the resulting 5,878,211 SNPs and 576,942 indels with good post-imputation quality (Rsq &gt; 0.50) and minor allele frequency of at least 5%.	Brain samples were obtained from 134 individuals of European descent. All individuals were neurologically normal during life and confirmed to be neuropathologically normal by a consultant neuropathologist using histology performed on sections prepared from paraffin-embedded brain tissue blocks. The individuals sampled had a mean age at death of 59 years old (range 16–102), were mostly men (74.5%) and the most common cause of death was ischemic heart disease (44.7%).  Genomic DNA was extracted from sub-dissected samples (100–200 mg) of human post-mortem brain tissue using Qiagen’s DNeasy Blood &amp; Tissue Kit (Qiagen,UK). All samples were genotyped on the Illumina Infinium Omni1-Quad BeadChip and on the Immunochip, a custom genotyping array designed for the fine-mapping of auto-immune disorders1,49. The BeadChips were scanned using an iScan (Illumina, USA) with an AutoLoader (Illumina, USA). GenomeStudio v.1.8.X (Illumina, USA) was used for analysing the data and generating SNP calls. After standard quality controls (removal of suspected non-European descent individuals, samples with call rate &lt; 95% and checks on reported sex status, cryptic relatedness, autosomal heterozygosity rate check, monomorphic SNPs or call rate &lt; 95%, no genomic position info or redundant SNPs, pvalue for deviation from HWE &lt; 0.0001, genotyping call rate &lt; 95%, less than 2 heterozygotes present, mismatching alleles 1000G even after allowing for strand), imputation was performed using MaCH 50,51 and minimac (http://genome.sph.umich.edu/wiki/Minimac) using the European panel of the 1000 Genomes Project (March 2012: Integrated Phase I haplotype release version 3, based on the 2010-11 data freeze and 2012-03-14 haplotypes). We used the resulting 5,878,211 SNPs and 576,942 indels with good post-imputation quality (Rsq &gt; 0.50) and minor allele frequency of at least 5%.	[25174004]	FALSE	FALSE	1000 Genomes	Incorrect - UBKEC consortium	UBKEC consortium	Corrected by reviewer
EGAS00001001665	Rare SNPs in receptor tyrosine kinases are negative outcome predictors in multiple myeloma	"Multiple myeloma (MM) is a plasma cell disorder that is characterized by a great genetic heterogeneity. Recent next generation sequencing studies revealed an accumulation of tumor-associated mutations in receptor tyrosine kinases (RTKs) which may also contribute to the activation of survival pathways in MM. To investigate the clinical role of RTK-mutations in MM, we deep-sequenced the coding DNA-sequence of EGFR, EPHA2, ERBB3, IGF1R, NTRK1 and NTRK2 which were previously found to be mutated in MM, in 75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"". Subsequently, we correlated the detected mutations with common cytogenetic alterations and clinical parameters. We identified 11 novel non-synonymous SNVs or rare patient-specific SNPs, not listed in the SNP databases 1000 genomes and dbSNP, in 10 primary MM cases. The mutations predominantly affected the tyrosine-kinase and ligand-binding domains and no correlation with cytogenetic parameters was found. Interestingly, however, patients with RTK-mutations, specifically those with rare patient-specific SNPs, showed a significant lower overall, event-free and progression-free survival. This indicates that RTK SNVs and rare patient-specific RTK SNPs are of prognostic relevance and suggests that MM patients with RTK-mutations could potentially profit from treatment with RTK-inhibitors."	"Multiple myeloma (MM) is a plasma cell disorder that is characterized by a great genetic heterogeneity. Recent next generation sequencing studies revealed an accumulation of tumor-associated mutations in receptor tyrosine kinases (RTKs) which may also contribute to the activation of survival pathways in MM. To investigate the clinical role of RTK-mutations in MM, we deep-sequenced the coding DNA-sequence of EGFR, EPHA2, ERBB3, IGF1R, NTRK1 and NTRK2 which were previously found to be mutated in MM, in 75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"". Subsequently, we correlated the detected mutations with common cytogenetic alterations and clinical parameters. We identified 11 novel non-synonymous SNVs or rare patient-specific SNPs, not listed in the SNP databases 1000 genomes and dbSNP, in 10 primary MM cases. The mutations predominantly affected the tyrosine-kinase and ligand-binding domains and no correlation with cytogenetic parameters was found. Interestingly, however, patients with RTK-mutations, specifically those with rare patient-specific SNPs, showed a significant lower overall, event-free and progression-free survival. This indicates that RTK SNVs and rare patient-specific RTK SNPs are of prognostic relevance and suggests that MM patients with RTK-mutations could potentially profit from treatment with RTK-inhibitors."	[23396385, 25521164]	TRUE	FALSE	"75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"""	Incorrect		Confirmed no valid match (human-reviewed)
EGAS00001001669	Rare SNPs in receptor tyrosine kinases are negative outcome predictors in multiple myeloma	"Multiple myeloma (MM) is a plasma cell disorder that is characterized by a great genetic heterogeneity. Recent next generation sequencing studies revealed an accumulation of tumor-associated mutations in receptor tyrosine kinases (RTKs) which may also contribute to the activation of survival pathways in MM. To investigate the clinical role of RTK-mutations in MM, we deep-sequenced the coding DNA-sequence of EGFR, EPHA2, ERBB3, IGF1R, NTRK1 and NTRK2 which were previously found to be mutated in MM, in 75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"". Subsequently, we correlated the detected mutations with common cytogenetic alterations and clinical parameters. We identified 11 novel non-synonymous SNVs or rare patient-specific SNPs, not listed in the SNP databases 1000 genomes and dbSNP, in 10 primary MM cases. The mutations predominantly affected the tyrosine-kinase and ligand-binding domains and no correlation with cytogenetic parameters was found. Interestingly, however, patients with RTK-mutations, specifically those with rare patient-specific SNPs, showed a significant lower overall, event-free and progression-free survival. This indicates that RTK SNVs and rare patient-specific RTK SNPs are of prognostic relevance and suggests that MM patients with RTK-mutations could potentially profit from treatment with RTK-inhibitors."	"Multiple myeloma (MM) is a plasma cell disorder that is characterized by a great genetic heterogeneity. Recent next generation sequencing studies revealed an accumulation of tumor-associated mutations in receptor tyrosine kinases (RTKs) which may also contribute to the activation of survival pathways in MM. To investigate the clinical role of RTK-mutations in MM, we deep-sequenced the coding DNA-sequence of EGFR, EPHA2, ERBB3, IGF1R, NTRK1 and NTRK2 which were previously found to be mutated in MM, in 75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"". Subsequently, we correlated the detected mutations with common cytogenetic alterations and clinical parameters. We identified 11 novel non-synonymous SNVs or rare patient-specific SNPs, not listed in the SNP databases 1000 genomes and dbSNP, in 10 primary MM cases. The mutations predominantly affected the tyrosine-kinase and ligand-binding domains and no correlation with cytogenetic parameters was found. Interestingly, however, patients with RTK-mutations, specifically those with rare patient-specific SNPs, showed a significant lower overall, event-free and progression-free survival. This indicates that RTK SNVs and rare patient-specific RTK SNPs are of prognostic relevance and suggests that MM patients with RTK-mutations could potentially profit from treatment with RTK-inhibitors."	[23396385, 25521164]	FALSE	FALSE	"75 uniformly treated MM patients of the ""Deutsche Studiengruppe Multiples Myelom"""	Incorrect		Confirmed no valid match (human-reviewed)
