accession_id	cohort_match	verification_status
EGAS00000000001	WTCCC case-control study for Bipolar Disorder	Confirmed correct (human-reviewed)
EGAS00000000002	WTCCC case-control study for Bipolar Disorder	Confirmed correct (human-reviewed)
EGAS00000000003	WTCCC case-control study for Coronary Artery Disease	Confirmed correct (human-reviewed)
EGAS00000000004	WTCCC case-control study for Coronary Artery Disease	Confirmed correct (human-reviewed)
EGAS00000000005	WTCCC case-control study for Coronary Artery Disease, WTCCC for Hypertension, T2D	Confirmed correct (human-reviewed)
EGAS00000000006	WTCCC case-control study for Inflammatory Bowel Disease	Confirmed correct (human-reviewed)
EGAS00000000007	WTCCC case-control study for Inflammatory Bowel Disease	Confirmed correct (human-reviewed)
EGAS00000000008	WTCCC case-control study for Inflammatory Bowel Disease, WTCCC case-control study for T1D, WTCCC case-control study for Rheumatoid Arthritis	Confirmed correct (human-reviewed)
EGAS00000000009	WTCCC case-control study for Hypertension	Confirmed correct (human-reviewed)
EGAS00000000010	WTCCC case-control study for Hypertension	Confirmed correct (human-reviewed)
EGAS00000000011	WTCCC case-control study for Rheumatoid Arthritis	Confirmed correct (human-reviewed)
EGAS00000000012	WTCCC case-control study for Rheumatoid Arthritis	Confirmed correct (human-reviewed)
EGAS00000000013	WTCCC case-control study for T1D, WTCCC case-control study for Rheumatoid Arthritis	Confirmed correct (human-reviewed)
EGAS00000000014	WTCCC case-control study for Type 1 Diabetes	Confirmed correct (human-reviewed)
EGAS00000000015	WTCCC case-control study for Type 1 Diabetes	Confirmed correct (human-reviewed)
EGAS00000000016	WTCCC case-control study for Type 2 Diabetes	Confirmed correct (human-reviewed)
EGAS00000000017	WTCCC case-control study for Type 2 Diabetes	Confirmed correct (human-reviewed)
EGAS00000000018	WTCCC case-control study for Ankylosing Spondylitis	Confirmed correct (human-reviewed)
EGAS00000000019	WTCCC case-control study for Ankylosing Spondylitis	Confirmed correct (human-reviewed)
EGAS00000000020	WTCCC case-control study for Autoimmune Thyroid Disease	Confirmed correct (human-reviewed)
EGAS00000000021	WTCCC case-control study for Autoimmune Thyroid Disease	Confirmed correct (human-reviewed)
EGAS00000000022	WTCCC case-control study for Multiple Sclerosis	Confirmed correct (human-reviewed)
EGAS00000000023	WTCCC case-control study for Multiple Sclerosis	Confirmed correct (human-reviewed)
EGAS00000000024	WTCCC case-control study for Breast cancer	Confirmed correct (human-reviewed)
EGAS00000000025	WTCCC case-control study for Breast cancer	Confirmed correct (human-reviewed)
EGAS00000000027	WTCCC case-control study for Tuberculosis	Confirmed correct (human-reviewed)
EGAS00000000032	T1DGC	Confirmed correct (human-reviewed)
EGAS00000000032	WTCCC	Confirmed correct (human-reviewed)
EGAS00000000037	WTCCC	Confirmed correct (human-reviewed)
EGAS00000000038	British Birth Cohort	Confirmed correct (human-reviewed)
EGAS00000000043	LifeLines	Confirmed correct (human-reviewed)
EGAS00000000097	KORA	Confirmed correct (human-reviewed)
EGAS00000000097	Wellcome Trust Case Control Consortium	Confirmed correct (human-reviewed)
EGAS00000000101	WTCCC	Confirmed correct (human-reviewed)
EGAS00000000101	Genetic Analysis of Multiple Sclerosis	Confirmed correct (human-reviewed)
EGAS00000000132	HapMap	Confirmed correct (human-reviewed)
EGAS00001000020	FINRISK	Confirmed correct (human-reviewed)
EGAS00001000022	ALSPAC	Confirmed correct (human-reviewed)
EGAS00001000052	AMC-PAS	Confirmed correct (human-reviewed)
EGAS00001000067	MANOLIS	Confirmed correct (human-reviewed)
EGAS00001000068	Orkney Complex Disease Study	Confirmed correct (human-reviewed)
EGAS00001000111	ALSPAC	Confirmed correct (human-reviewed)
EGAS00001000111	TwinsUK	Confirmed correct (human-reviewed)
EGAS00001000114	ALSPAC	Confirmed correct (human-reviewed)
EGAS00001000114	TwinsUK	Confirmed correct (human-reviewed)
EGAS00001000131	ALSPAC	Confirmed correct (human-reviewed)
EGAS00001000131	TwinsUK	Confirmed correct (human-reviewed)
EGAS00001000134	HapMap	Confirmed correct (human-reviewed)
EGAS00001000228	IIBDGC	Confirmed correct (human-reviewed)
EGAS00001000228	UKIBDGC	Confirmed correct (human-reviewed)
EGAS00001000239	PROMIS	Confirmed correct (human-reviewed)
EGAS00001000241	ALSPAC	Confirmed correct (human-reviewed)
EGAS00001000241	TwinsUK	Confirmed correct (human-reviewed)
EGAS00001000241	UK Biobank	Confirmed correct (human-reviewed)
EGAS00001000311	TwinsUK	Confirmed correct (human-reviewed)
EGAS00001000316	FINRISK	Confirmed correct (human-reviewed)
EGAS00001000324	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001000329	UKIBD Genetics Consortium	Confirmed correct (human-reviewed)
EGAS00001000350	NSPHS	Confirmed correct (human-reviewed)
EGAS00001000350	ORCADES	Confirmed correct (human-reviewed)
EGAS00001000392	HELIC	Confirmed correct (human-reviewed)
EGAS00001000392	MANOLIS	Confirmed correct (human-reviewed)
EGAS00001000411	Cardiogenics Study	Confirmed correct (human-reviewed)
EGAS00001000427	ICGC	Confirmed correct (human-reviewed)
EGAS00001000433	ICGC	Confirmed correct (human-reviewed)
EGAS00001000440	HELIC	Confirmed correct (human-reviewed)
EGAS00001000462	Born in Bradford	Confirmed correct (human-reviewed)
EGAS00001000498	MoBa	Confirmed correct (human-reviewed)
EGAS00001000561	ICGC PedBrain	Confirmed correct (human-reviewed)
EGAS00001000565	ICGC PedBrain	Confirmed correct (human-reviewed)
EGAS00001000574	SardiNIA	Confirmed correct (human-reviewed)
EGAS00001000595	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001000601	HELIC	Confirmed correct (human-reviewed)
EGAS00001000602	HELIC	Confirmed correct (human-reviewed)
EGAS00001000630	HELIC	Confirmed correct (human-reviewed)
EGAS00001000630	MANOLIS	Confirmed correct (human-reviewed)
EGAS00001000642	1000 Genomes	Confirmed correct (human-reviewed)
EGAS00001000658	HELIC	Confirmed correct (human-reviewed)
EGAS00001000671	ICGC	Confirmed correct (human-reviewed)
