ID	label	verdict	example study	PMID	quote	URL	quote verified	confidence	remark
COHO:0000002	1000 Genomes	confirmed, upheld on re-review	EGAS00001000642	PMID:25236618	sequence data from the 1000 Genomes Project	https://ega-archive.org/studies/EGAS00001000642	yes	high	
COHO:0000003	AddNeuroMed Cohort	found	GCST000897	PMID:21116278	the AddNeuroMed study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC5980656/unicode	yes	high	
COHO:0000004	Adenoma Prevention with Celecoxib trail	found		PMID:19336730	The Adenoma Prevention with Celecoxib (APC) Trial examined the efficacy and safety	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2976587/unicode	yes	high	
COHO:0000005	Advanced Study of Aortic Pathology	replaced	GCST003877	PMID:27899403	eQTL data were also obtained from the ASAP (Advanced Study of Aortic Pathology) data set	https://europepmc.org/articles/PMC5253231	yes	low	Replacement explicitly uses ASAP vascular expression data. Original catalog lists ASAP, but its supplementary cohort description could not be accessed.
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	confirmed, upheld on re-review	GCST90092502	PMID:35165267	Africa Wits-INDEPTH Partnership for Genomic Studies cohort	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844072/fullTextXML	yes	high	
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	confirmed, upheld on re-review	GCST90034524	PMID:34450027	Arthritis Research UK Osteoarthritis Genetics	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8459317/fullTextXML	yes	high	
COHO:0000008	Asian Cancer Project	found		PMID:24943594	Asian Cancer Project (ACP)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4204770/unicode	yes	high	
COHO:0000009	Aspirin for Asymptomatic Atherosclerosis Study	found		PMID:18762476	aspirin for asymptomatic atherosclerosis (AAA) trial	https://europepmc.org/articles/PMC2527654	yes	high	
COHO:0000010	AtheroExpress	found		PMID:33784435	AtheroExpress biobank for the current study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8360163/unicode	yes	high	
COHO:0000011	Atherosclerosis Risk in Communities Study	confirmed, upheld on re-review	GCST90134328	PMID:35769078	among prediabetes participants of the Atherosclerosis Risk in Communities Study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9234217/fullTextXML	yes	high	
COHO:0000012	Atopic Dermatitis Research Network	found	GCST90091054	PMID:34536413	Atopic Dermatitis Research Network (ADRN)	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC8665111/unicode	yes	high	
COHO:0000013	Australia Cancer Study	found	GCST000802	PMID:20852632	the Australian Cancer Study (ACS) Management Group	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3020231	yes	high	
COHO:0000014	Australian Ovarian Cancer Study	confirmed, upheld on re-review	EGAS00001004248		Whole-exome sequencing dataset for the Australian Ovarian Cancer Study	https://ega-archive.org/studies/EGAS00001004248	yes	high	
