PMID	title
2951410	Excess mortality of bipolar and unipolar manic-depressive patients.
3738950	Cerebral thromboembolism among young women and men in Denmark 1977-1982.
10340280	The Danish Osteoporosis Prevention Study (DOPS): project design and inclusion of 2000 normal perimenopausal women.
11470126	Apolipoprotein E alleles in nonagenarian subjects in the Belfast Elderly Longitudinal Free-living Ageing Study (BELFAST).
12624278	Promoter polymorphism in the endotoxin receptor (CD14) is associated with increased carotid atherosclerosis only in smokers: the Carotid Atherosclerosis Progression Study (CAPS).
12791629	Infant nutrition and blood pressure in early adulthood: the Barry Caerphilly Growth study.
12871360	Inflammation, thrombosis and atherosclerosis: results of the Glostrup study.
15217505	The Breast Cancer Family Registry: an infrastructure for cooperative multinational, interdisciplinary and translational studies of the genetic epidemiology of breast cancer.
15279051	Factorial composition of self-rated schizotypal traits among young males undergoing military training.
15539711	Predictors of survival in severe, early onset COPD.
15809377	Prognostic value of ambulatory and home blood pressures compared with office blood pressure in the general population: follow-up results from the Pressioni Arteriose Monitorate e Loro Associazioni (PAMELA) study.
16076393	An evaluation of the metabolic syndrome in a large multi-ethnic study: the Family Blood Pressure Program.
16256881	Normal vascular aging: differential effects on wave reflection and aortic pulse wave velocity: the Anglo-Cardiff Collaborative Trial (ACCT).
17132649	Impact of C-reactive protein and fibrinogen on cardiovascular prognosis in patients with stable angina pectoris: the AtheroGene study.
17370032	Awareness, accuracy, and predictive validity of self-reported cholesterol in women.
18498660	Polymorphisms near EXOC4 and LRGUK on chromosome 7q32 are associated with Type 2 Diabetes and fasting glucose; the NHLBI Family Heart Study.
18762476	Low dose aspirin and cognitive function in middle aged to elderly adults: randomised controlled trial.
19011631	Meta-analysis of genome-wide association data identifies four new susceptibility loci for colorectal cancer.
19060911	Loci influencing lipid levels and coronary heart disease risk in 16 European population cohorts.
19075291	Dysregulation of lipid and amino acid metabolism precedes islet autoimmunity in children who later progress to type 1 diabetes.
19198609	Genome-wide association of early-onset myocardial infarction with single nucleotide polymorphisms and copy number variants.
19336730	Five-year efficacy and safety analysis of the Adenoma Prevention with Celecoxib Trial.
19404257	Autism genome-wide copy number variation reveals ubiquitin and neuronal genes.
19416921	Genome-wide association and meta-analysis of bipolar disorder in individuals of European ancestry.
19430480	Genome-wide association study and meta-analysis find that over 40 loci affect risk of type 1 diabetes.
19438929	C-reactive protein in migraine sufferers similar to that of non-migraineurs: the Reykjavik Study.
19571811	Common polygenic variation contributes to risk of schizophrenia and bipolar disorder.
19684604	Loci on 7p12.2, 10q21.2 and 14q11.2 are associated with risk of childhood acute lymphoblastic leukemia.
19706757	Polymorphisms in DNA repair genes, smoking, and bladder cancer risk: findings from the international consortium of bladder cancer.
19734902	Genome-wide association study identifies variants at CLU and PICALM associated with Alzheimer's disease.
19736353	A genomewide association study points to multiple loci that predict antidepressant drug treatment outcome in depression.
19879194	Integration of genetic risk factors into a clinical algorithm for multiple sclerosis susceptibility: a weighted genetic risk score.
19918004	Maternal but not paternal association of ambulatory blood pressure with albumin excretion in young offspring with type 1 diabetes.
20031576	Association of novel genetic Loci with circulating fibrinogen levels: a genome-wide association study in 6 population-based cohorts.
20032323	Genetic variants associated with Lp(a) lipoprotein level and coronary disease.
20164292	Genome-wide association study of bone mineral density in premenopausal European-American women and replication in African-American women.
