catalogue id	name	COHO ID	decision	xref	website	note
ALSPAC	Avon Longitudinal Study of Parents and Children	COHO:0000016	existing	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ALSPAC	http://www.bristol.ac.uk/alspac/	Global Exposome Cohort Catalogue entry ALSPAC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ALSPAC), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
BIB	Born in Bradford	COHO:0000226	existing	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BIB	https://borninbradford.nhs.uk/	Global Exposome Cohort Catalogue entry BIB (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BIB), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
CEANS	CEANS	COHO:0002596	mint aggregation	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CEANS		Global Exposome Cohort Catalogue entry CEANS (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CEANS), checked against its sources on 2026-09-25. The catalogue record is empty apart from the id (it comes from the EXPANSE network). CEANS is not a separately recruited cohort: every source describes it as four existing Stockholm cohorts pooled for air-pollution and noise studies (ESCAPE, ELAPSE, EXPANSE), so it is an aggregation. Its members (SDPP, SIXTY/60-year-olds, SALT, SNAC-K) are not in COHO; COHO's TwinGene Study (COHO:0000193) is a sub-study of SALT, and ESCAPE names the member 'SALT/Twin gene', but CEANS used all Stockholm-resident SALT twins, so TwinGene is not listed as a member. Label follows ESCAPE and EXPANSE ('...Noise in Stockholm'); the Swedish multicohort papers call it '...Noise Study', kept as synonyms (with the capitalisation variants). The design reference is Korek et al. 2015 (stroke in four Stockholm cohorts), not read.
NBC1967-1976	NBC1967-1976		unresolved			Global Exposome Cohort Catalogue entry NBC1967-1976 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NBC1967-1976), checked against its sources on 2026-09-25. The catalogue record is empty: id and name are both 'NBC1967-1976', type 'Cohort study', no country, description or website; it belongs to the EPHOR network. No paper or web page uses the string 'NBC1967-1976'. The likely referent is the Norwegian register-based cohort of everyone born in Norway 1967-1976 used by the National Institute of Occupational Health (STAMI, an EPHOR partner; its other EPHOR entry NWAC is the Norwegian Working Age Cohort, Nor-Work), but no source links the catalogue id to that cohort, and the cohort has no name of its own beyond descriptions ('Norwegian birth cohort of 1967-1976'). The record above is the candidate if the curator accepts the identification; the example quote does not use a name because the papers never name it. Not in COHO under any name. Left unresolved rather than minted on an inference.
CON	My purchases cohort	COHO:0002597	mint cohort	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CON	https://mineindkob.ssi.dk/	Global Exposome Cohort Catalogue entry CON (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CON), checked against its sources on 2026-09-25. A defined, consenting group of Danish adults whose purchase receipts are collected and linked to registers, run by Statens Serum Institut as part of the Human Exposome Assessment Platform (HEAP); a cohort, not in COHO (the suggested matches Project MinE, Aichi_Con and ESTAMPA are unrelated). The catalogue id and acronym is 'CON'; the cohort's own names are 'My Purchases cohort' (design paper) and 'Mine Indkøb' (website), with the catalogue's local name 'Mine indkøb kohorten'. The only paper found is the design paper, which analyses the cohort's data and serves as the example.
STREAM	STREAM	COHO:0002598	mint cohort	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/STREAM		Global Exposome Cohort Catalogue entry STREAM (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/STREAM), checked against its sources on 2026-09-25. The catalogue record is empty apart from the id (it comes from the EPHOR network). OMega-X, EPHOR's occupational mega cohort, lists STREAM as the Dutch Study on Transitions in Employment, Ability and Motivation, and the papers describe it as a prospective cohort of older workers run by TNO; a cohort, not in COHO. The capitalisation 'Study on TRansitions...' used in PMID:32414410 spells out the acronym and is kept as a synonym. Could not read: Ybema et al. 2014 STREAM design paper (Br J Med Med Res; not indexed in PubMed, not read).
CSC	Cervical screening cohort	COHO:0002599	mint cohort	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CSC	https://nkcx.se	Global Exposome Cohort Catalogue entry CSC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CSC), checked against its sources on 2026-09-25. The catalogue's 'Cervical screening cohort' (CSC) is the HEAP cohort described in the 2024 data descriptor, which uses the same name and acronym. Its website is that of the national screening registry (NKCx) from which the cohort's data are updated, and its description ('all women resident in Sweden aged 23-70') and start year 1964 (the start of the Swedish screening programme) describe the registry and programme; the cohort itself enrols women screened in the Stockholm region from 2011. NKCx is not in COHO either; if the curator wants the national registry as its own term, it would be a separate cohort. Not in COHO; suggested matches are unrelated screening studies. Label from the data descriptor's title.
DFBC	Dutch Famine Birth Cohort study	COHO:0002600	mint cohort	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DFBC	https://www.hongerwinter.nl/	Global Exposome Cohort Catalogue entry DFBC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DFBC), checked against its sources on 2026-09-25. A defined historical birth cohort from one Amsterdam hospital, studied since 1994; not in COHO under any name. It is distinct from the Dutch Hunger Winter Families Study (Leiden), which is not in COHO either. Label as in the cohort profile's title (with its acronym DFBC); the catalogue's name 'Dutch Famine Birth Cohort study' and the website's Dutch name 'Hongerwinter Onderzoek' are synonyms, as are the lower-case variants the papers use.
DNBC	The Danish National Birth Cohort	COHO:0000748	existing	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DNBC	https://www.dnbc.dk	Global Exposome Cohort Catalogue entry DNBC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DNBC), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
DiPiS	DiPiS	COHO:0002601	mint cohort	https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DiPiS		Global Exposome Cohort Catalogue entry DiPiS (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DiPiS), checked against its sources on 2026-09-25. The catalogue entry is the DiPiS biobank (BBMRI-ERIC SE_2328, via the HEDIMED network) with no name beyond the acronym; the biobank holds the samples of the Diabetes Prediction in Skåne study, a Swedish newborn-screening cohort for type 1 diabetes, so the term is for that cohort. Not in COHO (checked DiPiS, Skåne, TEDDY). The newborn screening covered all consenting births in Skåne (questionnaires at 2 months from over 23,000 children), with intensive follow-up of those at increased risk.
