catalogue id	input name	verdict	COHO ID	label	acronym synonyms	other synonyms	type	same as	clashes with	example study	example PMID	example title	example quote	example quote URL	definition	definition source	drafted by	countries	location quote	location URL	parent	parent relation	parent quote	parent URL	note
ALSPAC	Avon Longitudinal Study of Parents and Children	existing	COHO:0000016		ALSPAC	Avon Longitudinal Study of Parents and Children																			Global Exposome Cohort Catalogue entry ALSPAC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/ALSPAC), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
BIB	Born in Bradford	existing	COHO:0000226		BIB	Born in Bradford																			Global Exposome Cohort Catalogue entry BIB (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/BIB), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
CEANS	CEANS	mint aggregation	COHO:0002596	Cardiovascular Effects of Air Pollution and Noise in Stockholm	CEANS	Cardiovascular Effects of Air pollution and Noise Study|Cardiovascular Effects of Air Pollution and Noise Study|Cardiovascular Effects of Air Pollution and Noise in Stockholm study|CEANS	cohort aggregation				PMID:34497075		Recruiting individuals from Stockholm County the Cardiovascular Effects of Air pollution and Noise Study (CEANS) cohort was included.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8438896/fullTextXML	A pooling of four population-based cohorts from Stockholm County, Sweden (the Stockholm Diabetes Prevention Programme, a random sample of 60-year-olds known as SIXTY, the Stockholm-resident participants of the Screening Across the Lifespan Twin study, and the Swedish National Study on Aging and Care in Kungsholmen), recruited between 1992 and 2004 and analysed together to study long-term exposure to ambient air pollution and noise as risk factors for cardiovascular disease.	PMID:34497075|PMID:35270332|PMID:29016987	Claude Opus 5.5 (Anthropic), 2026-09	Sweden	Pooled data from the 4 cohorts from Stockholm, Sweden: SNAC-K, SALT/Twin gene, 60 y/IMPROVE, and SDPP.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5817954/fullTextXML					Global Exposome Cohort Catalogue entry CEANS (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CEANS), checked against its sources on 2026-09-25. The catalogue record is empty apart from the id (it comes from the EXPANSE network). CEANS is not a separately recruited cohort: every source describes it as four existing Stockholm cohorts pooled for air-pollution and noise studies (ESCAPE, ELAPSE, EXPANSE), so it is an aggregation. Its members (SDPP, SIXTY/60-year-olds, SALT, SNAC-K) are not in COHO; COHO's TwinGene Study (COHO:0000193) is a sub-study of SALT, and ESCAPE names the member 'SALT/Twin gene', but CEANS used all Stockholm-resident SALT twins, so TwinGene is not listed as a member. Label follows ESCAPE and EXPANSE ('...Noise in Stockholm'); the Swedish multicohort papers call it '...Noise Study', kept as synonyms (with the capitalisation variants). The design reference is Korek et al. 2015 (stroke in four Stockholm cohorts), not read.
NBC1967-1976	NBC1967-1976	unresolved																							Global Exposome Cohort Catalogue entry NBC1967-1976 (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/NBC1967-1976), checked against its sources on 2026-09-25. The catalogue record is empty: id and name are both 'NBC1967-1976', type 'Cohort study', no country, description or website; it belongs to the EPHOR network. No paper or web page uses the string 'NBC1967-1976'. The likely referent is the Norwegian register-based cohort of everyone born in Norway 1967-1976 used by the National Institute of Occupational Health (STAMI, an EPHOR partner; its other EPHOR entry NWAC is the Norwegian Working Age Cohort, Nor-Work), but no source links the catalogue id to that cohort, and the cohort has no name of its own beyond descriptions ('Norwegian birth cohort of 1967-1976'). The record above is the candidate if the curator accepts the identification; the example quote does not use a name because the papers never name it. Not in COHO under any name. Left unresolved rather than minted on an inference.
CON	My purchases cohort	mint cohort	COHO:0002597	My Purchases cohort	CON	Mine indkøb kohorten|Mine Indkøb|My Purchases|My purchases cohort	cohort				PMID:38062070		The My Purchases cohort has had ongoing recruitment since June 2021.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10703931/fullTextXML	A cohort of adult Danish residents who, since June 2021, have consented through a web application run by Statens Serum Institut to donate the digital receipts of their consumer purchases, linked through their personal identification number to national health registers, to study how purchases, diet and household lifestyle exposures affect health.	PMID:38062070|https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CON	Claude Opus 5.5 (Anthropic), 2026-09	Denmark	All Danish residents 18 years and older with a valid digital signature (MitID) and an account with the digital receipt solution can donate information about their purchases for research purposes.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10703931/fullTextXML					Global Exposome Cohort Catalogue entry CON (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CON), checked against its sources on 2026-09-25. A defined, consenting group of Danish adults whose purchase receipts are collected and linked to registers, run by Statens Serum Institut as part of the Human Exposome Assessment Platform (HEAP); a cohort, not in COHO (the suggested matches Project MinE, Aichi_Con and ESTAMPA are unrelated). The catalogue id and acronym is 'CON'; the cohort's own names are 'My Purchases cohort' (design paper) and 'Mine Indkøb' (website), with the catalogue's local name 'Mine indkøb kohorten'. The only paper found is the design paper, which analyses the cohort's data and serves as the example.
STREAM	STREAM	mint cohort	COHO:0002598	Study on Transitions in Employment, Ability and Motivation	STREAM	Study on TRansitions in Employment, Ability and Motivation|STREAM	cohort				PMID:32414410		Data from 11,221 working persons included in the prospective Study on Transitions in Employment, Ability and Motivation (STREAM) conducted in the Netherlands were used to develop a multivariable risk prediction model for LTSA lasting ≥28 accumulated working days in the coming year.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7227258/fullTextXML	A prospective cohort of persons aged 45 to 64 years in the Netherlands, stratified by age and employment status, followed from 2010 by the Netherlands Organisation for Applied Scientific Research TNO through online questionnaires on work characteristics, health, employment transitions, work ability and productivity, to study sustainable work participation of older workers; a second group was recruited in 2015.	PMID:32414410|PMID:42615545	Claude Opus 5.5 (Anthropic), 2026-09	Netherlands	STREAM is an ongoing prospective cohort among persons aged 45 to 64 years in the Netherlands stratified by age and employment status.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7227258/fullTextXML					Global Exposome Cohort Catalogue entry STREAM (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/STREAM), checked against its sources on 2026-09-25. The catalogue record is empty apart from the id (it comes from the EPHOR network). OMega-X, EPHOR's occupational mega cohort, lists STREAM as the Dutch Study on Transitions in Employment, Ability and Motivation, and the papers describe it as a prospective cohort of older workers run by TNO; a cohort, not in COHO. The capitalisation 'Study on TRansitions...' used in PMID:32414410 spells out the acronym and is kept as a synonym. Could not read: Ybema et al. 2014 STREAM design paper (Br J Med Med Res; not indexed in PubMed, not read).
CSC	Cervical screening cohort	mint cohort	COHO:0002599	Swedish Cervical Screening Cohort	CSC	Cervical Screening Cohort|Cervical screening cohort|Swedish cervical screening cohort	cohort				PMID:40205852		the TCGA dataset and the Swedish cervical screening cohort	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11982018/fullTextXML	A cohort of women screened for human papillomavirus and cervical abnormalities in the capital region of Sweden, in the organised screening programme and in non-organised testing, enrolled from 2011 by the Center for Cervical Cancer Elimination at Karolinska Institutet and Karolinska University Hospital, with biobanked cervical samples and individual screening data updated from the Swedish National Cervical Screening Registry (NKCx), for long-term follow-up studies of cervical cancer and other diseases.	PMID:38926412	Claude Opus 5.5 (Anthropic), 2026-09	Sweden	The CSC contains stored cervical cells from almost the entire screening population of women in the capital region of Stockholm, Sweden.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11208431/fullTextXML					Global Exposome Cohort Catalogue entry CSC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/CSC), checked against its sources on 2026-09-25. The catalogue's 'Cervical screening cohort' (CSC) is the HEAP cohort described in the 2024 data descriptor, which uses the same name and acronym. Its website is that of the national screening registry (NKCx) from which the cohort's data are updated, and its description ('all women resident in Sweden aged 23-70') and start year 1964 (the start of the Swedish screening programme) describe the registry and programme; the cohort itself enrols women screened in the Stockholm region from 2011. NKCx is not in COHO either; if the curator wants the national registry as its own term, it would be a separate cohort. Not in COHO; suggested matches are unrelated screening studies. Label from the data descriptor's title.
DFBC	Dutch Famine Birth Cohort study	mint cohort	COHO:0002600	Dutch Famine Birth Cohort	DFBC	Hongerwinter Onderzoek|Dutch famine birth cohort study|Dutch famine birth cohort|Dutch Famine Birth Cohort study	cohort				PMID:39349457		801 plasma samples of members of the Dutch famine birth cohort were assessed for lipidomics and leptin at age 58.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11442854/fullTextXML	A historical birth cohort of singletons born alive and at term in the Wilhelmina Gasthuis in Amsterdam, the Netherlands, around the time of the 1944–1945 Dutch famine (1943–1947), traced and studied by Amsterdam UMC since 1994 through repeated interviews, examinations, biological samples, imaging and registry linkage, to investigate the effects of acute maternal undernutrition during specific stages of gestation on later health, particularly cardiovascular and metabolic disease, ageing and mental health.	PMID:33664071|https://www.hongerwinter.nl/	Claude Opus 5.5 (Anthropic), 2026-09	Netherlands	Cohort profile: the Dutch famine birth cohort (DFBC)- a prospective birth cohort study in the Netherlands.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1136/bmjopen-2020-042078%22&format=json					Global Exposome Cohort Catalogue entry DFBC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DFBC), checked against its sources on 2026-09-25. A defined historical birth cohort from one Amsterdam hospital, studied since 1994; not in COHO under any name. It is distinct from the Dutch Hunger Winter Families Study (Leiden), which is not in COHO either. Label as in the cohort profile's title (with its acronym DFBC); the catalogue's name 'Dutch Famine Birth Cohort study' and the website's Dutch name 'Hongerwinter Onderzoek' are synonyms, as are the lower-case variants the papers use.
DNBC	The Danish National Birth Cohort	existing	COHO:0000748		DNBC	The Danish National Birth Cohort																			Global Exposome Cohort Catalogue entry DNBC (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DNBC), matched to the term by name on 2026-09-25; the catalogue's id, acronym and name are added to it.
DiPiS	DiPiS	mint cohort	COHO:0002601	Diabetes Prediction in Skåne	DiPiS	DiPiS study|Diabetes Prediction in Skåne study|DiPiS	cohort				PMID:29752553		influence the risk of developing type 1 diabetes (T1D) using data from the prospective Diabetes Prediction in Skåne (DiPiS) study.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6060880/fullTextXML	A prospective, population-based cohort of children born in Skåne, Sweden, between September 2000 and August 2004 who were screened as newborns for risk of type 1 diabetes, with children at increased risk followed with yearly capillary blood samples for islet autoantibodies from two to 15 years of age or until diabetes onset, to investigate the genetic and environmental factors contributing to or triggering type 1 diabetes.	PMID:40664750|PMID:29752553	Claude Opus 5.5 (Anthropic), 2026-09	Sweden	The aim of this study was to analyse glycaemic control over a longer period, past the period of partial remission, after diagnosis in children followed before diagnosis in the Swedish Diabetes Prediction in Skåne (DiPiS) study compared with children of equal age not enrolled in pre-diabetes follow-up, receiving equivalent diabetes care.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:30109365%20AND%20SRC:MED&resultType=core&format=json					Global Exposome Cohort Catalogue entry DiPiS (https://molgeniscatalogue.org/Global%20Exposome%20Cohorts/collections/DiPiS), checked against its sources on 2026-09-25. The catalogue entry is the DiPiS biobank (BBMRI-ERIC SE_2328, via the HEDIMED network) with no name beyond the acronym; the biobank holds the samples of the Diabetes Prediction in Skåne study, a Swedish newborn-screening cohort for type 1 diabetes, so the term is for that cohort. Not in COHO (checked DiPiS, Skåne, TEDDY). The newborn screening covered all consenting births in Skåne (questionnaires at 2 months from over 23,000 children), with intensive follow-up of those at increased risk.
