catalogue id	name	COHO ID	decision	xref	website	note
Golestan Cohort Study	Golestan Cohort Study	COHO:0002671	mint cohort		https://dceg2.cancer.gov/gemshare/studies/GCS/	"IHCC Cohort Atlas entry ""Golestan Cohort Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. No COHO term has Golestan or the acronym GCS (COHO:0000268 has the synonym 'ICGC GCS', a different string). The atlas's website link (GEMShare study page) now returns 'page not found'. The oesophageal-cancer purpose rests on the profile's title; the rest of the definition on the Alcala paper's methods. Acronym GCS is used for the cohort in the Alcala paper ('Golestan Cohort Study (GCS)'). Could not read: PMID:19332502 (cohort profile, full text not available; requested)."
Estonian Biobank	Estonian Biobank	COHO:0000064	existing		https://genomics.ut.ee/en/content/estonian-biobank	"IHCC Cohort Atlas entry ""Estonian Biobank"" (https://atlas.ihccglobal.org/), matched to the term by name on 2026-09-25; the atlas's name for it is added as a synonym."
Danish National Birth Cohort/Statens Serum Institut	Danish National Birth Cohort/Statens Serum Institut	COHO:0000748	existing		https://www.dnbc.dk/	"IHCC Cohort Atlas entry ""Danish National Birth Cohort/Statens Serum Institut"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the Danish National Birth Cohort (website dnbc.dk, 1996-2002 enrolment), with its host institution appended; the cohort's website gives its contact as 'Danish National Birth Cohort Danish National Biobank Statens Serum Institut'. Same people as COHO:0000748, which already has DNBC. The atlas's combined name is offered as a synonym because the catalogue tags it; the curator may prefer to leave it out as it names the institution too."
Norwegian Family Based Life Course Study	Norwegian Family Based Life Course Study	COHO:0002672	mint cohort			"IHCC Cohort Atlas entry ""Norwegian Family Based Life Course Study"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas links the NFLC design paper. NFLC is a national census-and-register linkage, not a recruited sample, but it is a defined population (all census participants 1960-2001) followed over their life course, like the register cohorts COHO already holds. The atlas's enrolment period (2022) and size (7.4 million) do not match the paper (5,266,270 included); probably a later update. No COHO term resembles it. The synonym 'Norwegian family based life course study' is the case variant in the abbreviation list of PMID:28356092. Could not read: PMID:22735991 (design paper, full text). The atlas's website field gives a paper (https://pubmed.ncbi.nlm.nih.gov/22735991/), not a site, so it is not recorded."
NICCC	NICCC		not a cohort			"IHCC Cohort Atlas entry ""NICCC"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. NICCC is the Clalit National Israeli Cancer Control Center in Haifa (director Gad Rennert), an institution, not a defined group of people. The atlas gives no description, only 50,000 enrolled since 2000, which matches the centre's population-based case-control studies run since 2000 (the Breast Cancer in Northern Israel Study, COHO:0001518, has enrolled since January 2000; also the Molecular Epidemiology of Colorectal Cancer study, COHO:0000618, and the lung cancer study NICCC-LCA, placeholder COHO:0002150), and in consortia the name tags different samples (a BRCA carrier series from its familial cancer service in CIMBA). No source says which people the atlas's 50,000 are. COHO already has the uncurated placeholder COHO:0002149 'National Israeli Cancer Control Center' (NICCC, from the PGS Catalog) for the same institution name; it should be resolved the same way (obsoleted, or pointed to the specific study the PGS Catalog sample used), and could take 'NICCC' from this atlas entry if kept. The IHCC site's page on the lead investigator (ihccglobal.org/gad-rennert-m-d-ph-d/) returns 404."
Tohoku University, Tohoku Medical Megabank Organization	Tohoku University, Tohoku Medical Megabank Organization	COHO:0000533	existing		http://www.megabank.tohoku.ac.jp/english/	"IHCC Cohort Atlas entry ""Tohoku University, Tohoku Medical Megabank Organization"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry is the institution that runs the Tohoku Medical Megabank Project, and its numbers (150,000 enrolled, target 157,000) are the two TMM cohorts together, the CommCohort (COHO:0000938) and BirThree (COHO:0000939) studies. COHO:0000533 (cohort aggregation, synonym 'Tohoku Medical Megabank Organization') is the project with both cohorts, so the entry is that term. Two placeholders look relevant for the curator: COHO:0002466 'The Tonhoku Medical Megabank Organisations' (a misspelt catalogue name for the same project, probably to be merged into COHO:0000533) and COHO:0001913 'Iwate Tohoku Medical Megabank' (the Iwate partner organisation)."
Korean Cancer Prevention Study (KCPS-II Biobank)	Korean Cancer Prevention Study (KCPS-II Biobank)	COHO:0000486	existing			"IHCC Cohort Atlas entry ""Korean Cancer Prevention Study (KCPS-II Biobank)"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas links the KCPS-II Biobank cohort profile, lists Sun Ha Jee and enrolment 2004-2013 of 160,407, which is the KCPS-II Biobank, COHO:0000486. The atlas's name begins 'Korean Cancer Prevention Study', which is also the name of the earlier, separate KCPS (KCPS-I) cohort of National Health Insurance members; COHO:0000486 already carries the acronym KCPS, which strictly denotes that earlier cohort, and the curator may want to check that (no separate KCPS-I term exists in COHO). 'Korean Cancer Prevention Study-II (KCPS-II) Biobank' is the profile's title form. Could not read: PMID:29186422 (cohort profile full text). The atlas's website field gives a paper (https://pubmed.ncbi.nlm.nih.gov/29186422/), not a site, so it is not recorded."
Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda	Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda	COHO:0000345	existing			"IHCC Cohort Atlas entry ""Uganda General Population Cohort/Uganda Genome Resource/ MRC Uganda"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas entry names the Uganda General Population Cohort (enrolment from 1989, about 22,000 people, matching 'approximately 22,000 individuals' in the UGR paper), its genomic resource (UGR) and the unit that runs it (MRC/UVRI and LSHTM Uganda Research Unit). COHO:0000345 already has 'Uganda Genome Resource' as a synonym; it lacks the acronym UGR (no other COHO term uses it). The atlas's combined string is offered as a synonym because the catalogue tags it; 'MRC Uganda' alone names the research unit and is not offered. The atlas's website field gives a paper (https://www.sciencedirect.com/science/article/pii/S0092867419311201), not a site, so it is not recorded."
C19-GenoNet	C19-GenoNet	COHO:0002673	mint cohort		https://biobanco.uchile.cl/proyecto-c19-genonet-2/	"IHCC Cohort Atlas entry ""C19-GenoNet"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. C19-GenoNet is the Chilean COVID-19 genomics network whose participants are those of the Chilean COVID-19 Biorepository (2,262 adults enrolled from September 2020, most intensively October 2020 to February 2021; the atlas says 2020-2021, 3,000). The design paper calls the cohort 'the Chilean COVID-19 Biorepository' throughout and 'The Chilean COVID-19 Genomics Network Biorepository' in its title, and says 'our team founded the COVID-19 Genomics Network (C19-GenoNet)'; the long-COVID GWAS tags the sample 'COVID-19 Genomics Network (C19-GenoNet)'. The label could equally be the title form; the curator should pick. No COHO term resembles it. The recruitment end date is not stated exactly; 'into 2021' rests on the recruitment figure (a June 2021 entry is said to be a data correction). It may be a member of the COVID-19 Host Genetics Initiative if COHO has that aggregation; no source read here says so directly."
UK Blood Donor Cohorts	UK Blood Donor Cohorts		unresolved		http://www.intervalstudy.org.uk/	"IHCC Cohort Atlas entry ""UK Blood Donor Cohorts"" (https://atlas.ihccglobal.org/), checked against its sources on 2026-09-25. The atlas's website is the INTERVAL study site (now returning a server error) and its numbers (2012 onwards, 100,000 enrolled, target 300,000) cover more than INTERVAL alone, so the entry is the University of Cambridge/NHSBT blood donor studies together, which their own sources call the 'Blood Donors Studies' (and the 'Blood Donor Studies BioResource'). Members in COHO: INTERVAL (COHO:0000184) and COMPARE (COHO:0000237); STRIDES (Strategies to Improve Donor Experiences, England 2019-2022, from PMID:41268819) is not in COHO and would need its own term to be a member. The example is a preprint without a PMID (the only source found that analyses the three studies together); a peer-reviewed paper would be better if one appears. Not the same as COHO:0000347 (UK Blood Service Control Group, the WTCCC controls) or COHO:0000123 (NHS Blood and Transplant). The country quote says England; United_Kingdom is the nearest name in gaz_xrefs.tsv. Not minted on 2026-09-25: no paper with a PMID uses the three studies together (its example is a preprint); the record above is kept."
