ID	label	verdict	asserted	correct	quote	URL	quote verified	confidence	remark
COHO:0000003	AddNeuroMed Cohort	correct	Finland|France|Greece|Italy|Poland|United_Kingdom	Finland|France|Greece|Italy|Poland|United_Kingdom	All subjects are white Europeans recruited from 6 centers in the United Kingdom, France, Italy, Finland, Poland, and Greece.	https://jamanetwork.com/journals/jamapsychiatry/fullarticle/210840	no	high	
COHO:0000004	Adenoma Prevention with Celecoxib trail	incomplete	United_States	United_States|Australia|Canada|United_Kingdom	72 in the United States, 8 in Australia, 10 in Canada, and 1 in Great Britain.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2976587/unicode	yes	high	
COHO:0000005	Advanced Study of Aortic Pathology	wrong	Netherlands	Sweden	patients undergoing aortic valve surgery and/or surgery for aortic aneurysm at the Karolinska University Hospital, Stockholm, Sweden	https://research.chalmers.se/publication/514203/file/514203_Fulltext.pdf	yes	high	
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	wrong	Burkina_Faso|Ethiopia|Ghana|Kenya|South_Africa	Burkina_Faso|Ghana|Kenya|South_Africa	It has over 12,000 participants from four sub-Saharan African countries, Burkina Faso, Ghana, Kenya and South Africa	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844072/fullTextXML	yes	high	
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	correct	United_Kingdom	United_Kingdom	7,410 subjects with hip and/or knee OA recruited from 9 UK centres	https://etheses.whiterose.ac.uk/id/eprint/17310/1/PhD%20Thesis%20final%20version%20with%20corrections%20for%20submission.pdf	no	medium	
COHO:0000008	Asian Cancer Project	wrong	Japan	Thailand	Asian Cancer Project (ACP) Thailand	https://researchmgt.monash.edu/ws/portalfiles/portal/299466323/125481567_oa.pdf	yes	high	
COHO:0000009	Aspirin for Asymptomatic Atherosclerosis Study	correct	United_Kingdom	United_Kingdom	volunteers were recruited from Lanarkshire, Glasgow, and Edinburgh in central Scotland	https://jamanetwork.com/journals/jama/fullarticle/185471	no	medium	
COHO:0000010	AtheroExpress	correct	Netherlands	Netherlands	AE enrolled patients who underwent CEA (n = 2466 until December 2020) in two tertiary referral hospitals in the Netherlands	https://pmc.ncbi.nlm.nih.gov/articles/PMC13308645/	yes	high	
COHO:0000011	Atherosclerosis Risk in Communities Study	correct	United_States	United_States	the clinical outcomes from four U.S. communities.	https://www.nhlbi.nih.gov/research/atherosclerosis	yes	high	
COHO:0000012	Atopic Dermatitis Research Network	correct	United_States	United_States	United States	https://clinicaltrials.gov/api/v2/studies/NCT00550316	yes	high	Country field for all nine recruitment locations in the named ADRN-02 registry.
COHO:0000013	Australia Cancer Study	correct	Australia	Australia	recruitment through the New South Wales and Victorian Cancer Registries was conducted in parallel under a separately funded study: the Australian Cancer Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode	yes	medium	
COHO:0000014	Australian Ovarian Cancer Study	correct	Australia	Australia	in collaboration with many clinicians and treatment centres across Australia. Patient recruitment commenced in 2002	https://www.aocstudy.org/	no	high	
COHO:0000015	Australian Twin Registry	correct	Australia	Australia	2,281 pairs of twins aged over 50 and living in Australia were invited to participate.	https://www.nature.com/articles/s41598-020-69388-y	no	high	
COHO:0000016	Avon Longitudinal Study of Parents and Children	correct	United_Kingdom	United_Kingdom	Avon Longitudinal Study of Parents and Children (ALSPAC)recruited 14,775 babies of predominantly White ethnicity in the Avon county of south-west England	https://metadata.ega-archive.org/studies/EGAS00001005273	yes	medium	
COHO:0000017	Berlin_Frankfurt_Munster trials	incomplete	Germany	Germany|Austria|Switzerland	Patients were treated in up to 82 centers in Germany, Austria, and Switzerland.	https://pubmed.ncbi.nlm.nih.gov/23700060/	yes	high	
COHO:0000018	Bladder Cancer Prognosis Programme	correct	United_Kingdom	United_Kingdom	Patients were recruited consecutively from 2005 to 2010 from ten hospitals in the West Midlands (UK)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9164468/fullTextXML	yes	high	
COHO:0000019	Brazilian Cohort	correct	Brazil	Brazil	sequencing the exomes of 45 babies from the State of Rio Grande do Nord in Brazil.	https://metadata.ega-archive.org/studies/EGAS00001004112	yes	high	
COHO:0000021	Bruneck study	correct	Italy	Italy	Here, we study 304 fecal samples collected from the elderly subjects in Italy.	https://metadata.ega-archive.org/studies/EGAS00001004453	yes	high	
COHO:0000022	Cancer and Leukemia Group B	incomplete	United_States	United_States|Canada	Patients were recruited from 508 study sites in the United States and Canada.	https://academic.oup.com/jncics/article/4/1/pkz078/5588850?searchresult=1	yes	medium	
COHO:0000023	Cancer Genome Atlas	incomplete	United_States	United_States|Australia|Brazil|Canada|Germany|Moldova|Poland|Russia|South_Korea|Ukraine|United_Kingdom|Vietnam	the geographic collection of samples spanned 11 countries	https://pmc.ncbi.nlm.nih.gov/articles/PMC7463948/	yes	medium	Countries in Methods 2.1 and Figure 2 include Russia. Multinational: these are documented gastric-cancer collection countries; complete pan-cancer recruitment list not established.
COHO:0000024	Cancer Prevention Study	correct	United_States	United_States	recruited participants into the study in all 50 states, the District of Columbia, and Puerto Rico	https://www.cancer.org/research/population-science/pop-sci/prevention-studies/cps-2.html	yes	medium	
COHO:0000025	Cancer Prostate in Sweden	correct	Sweden	Sweden	Cases with pathologically diagnosed PCa were recruited from regional cancer registries in Sweden	https://pmc.ncbi.nlm.nih.gov/articles/PMC3364485/	yes	high	
COHO:0000028	Cardiogenics Study	incomplete	France	France|Germany|United_Kingdom	recruitment process at Cambridge and Leicester (UK), Luebeck and Regensburg (Germany), and Paris (France)	https://www.nature.com/articles/srep35278	yes	high	
COHO:0000030	Carolina Head and Neck Cancer Epidemiology	correct	United_States	United_States	head and neck SCC carried out among 46 counties in central and eastern North Carolina	https://pmc.ncbi.nlm.nih.gov/articles/PMC3372316/	yes	medium	
COHO:0000031	CARTaGENE cohort (CHU Sainte-Justine, Quebec, Canada)	correct	Canada	Canada	CARTaGENE is a population-based project including residents from the province of Quebec enrolled at the age of 40–69	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11282926/fullTextXML	yes	medium	
COHO:0000032	Center for Autism Research and Treatment	correct	United_States	United_States	Participants were recruited through UCLA’s Center for Autism Research and Treatment, fliers distributed in the local community	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC3272329/unicode	yes	medium	
