cohort_name_(from_ega_review)	times_seen_in_review	status	closest_existing_acronym	closest_existing_full_name	similarity
1000 Genomes	2	Already in reference list (exact match)	1000 Genomes	1000 Genomes	1
APCDR	1	Already in reference list (exact match)	APCDR	African Partnership for Chronic Disease Research	1
CARDIOGRAM	1	Already in reference list (exact match)	CARDIoGRAM	Coronary ARtery DIsease Genome-wide Replication And Meta-analysis	1
CARDIoGRAMplusC4D	3	Already in reference list (exact match)	CARDIoGRAMplusC4D	CARDIoGRAMplusC4D	1
CEPH	1	Already in reference list (exact match)	CEPH	Centre dEtude du Polymorphisme Humain	1
Cancer Genome Atlas	3	Already in reference list (exact match)	TCGA	Cancer Genome Atlas	1
GR@ACE	1	Already in reference list (exact match)	GR@ACE	Genome Research at Fundació ACE	1
GoDARTS	1	Already in reference list (exact match)	GoDARTS	Genetics of diabetes Audit and Research	1
Health2000	1	Already in reference list (exact match)	Health2000	Health2000 Study	1
IARC	6	Already in reference list (exact match)	IARC	International Agency for Research on Cancer Study	1
ICGC	1	Already in reference list (exact match)	ICGC	International Cancer Genome Consortium-Chronic Lymphocytic Leukemia	1
International Headache Genetics Consortium	3	Already in reference list (exact match)	IHGC	International Headache Genetics Consortium	1
LifeLines	6	Already in reference list (exact match)	LifeLines	LifeLines	1
MEC	1	Already in reference list (exact match)	MEC	Multiethnic Cohort Study of Diet and Health	1
1958 Birth Cohort	1	New - not found in reference list			0.74
AGR Project	1	New - not found in reference list			0
ALTTO clinical trial	1	New - not found in reference list			0.7
APCDR AGVP	3	New - not found in reference list			0.67
APCDR Uganda	2	New - not found in reference list			0.59
African 1000G	1	New - not found in reference list			0.56
African Genome Variation Project (AGVP)	2	New - not found in reference list			0.62
African Genome Variation project	2	New - not found in reference list			0.68
BALLETT (Belgian Approach of Local Laboratory Extensive Tumor Testing)	1	New - not found in reference list			0.44
CARE - Canadian Airways Research Group	2	New - not found in reference list			0.5
CENet Cohort	1	New - not found in reference list			0
CORSA trial	1	New - not found in reference list			0.62
COVID19 HGI	1	New - not found in reference list			0.49
COVID19 Host Genetic Initiative	1	New - not found in reference list			0.49
Cambridge Biorepository for Translational Medicine (CBTM)	2	New - not found in reference list			0.54
Cardiogenics re-sequencing study	2	New - not found in reference list			0.72
CeDNN	1	New - not found in reference list			0
Coronary Artery Disease (CAD) cohort	1	New - not found in reference list			0.8
DKTK MASTER	1	New - not found in reference list			0
Donor InSight III study	1	New - not found in reference list			0.48
EMC-DC-IL10R study	1	New - not found in reference list			0.29
EPIGEN-Brazil Initiative	1	New - not found in reference list			0.4
Entebbe Mother and Baby (EMaB) study	1	New - not found in reference list			0.58
Estonian Microbiome Cohort	1	New - not found in reference list			0.82
EuroEPINOMICS	3	New - not found in reference list			0
GENCODE Consortium	1	New - not found in reference list			0
Genome Database of Latvian Population	1	New - not found in reference list			0.47
Genome Diversity in Africa Project	1	New - not found in reference list			0.52
Genomic Epidemiology of Malaria Project	11	New - not found in reference list			0.73
German Cancer Consortium	1	New - not found in reference list			0.71
