acronym	name	origin	decision	ID	label	note
1958 Birth Cohort	1958 Birth Cohort	ready-to-add list	minted	COHO:0000207	1958 British Birth Cohort	EGA review 2026-09-22: T1DGC GWAS using the 1958 British Birth Cohort as controls; the cohort is also the shared control collection of the WTCCC studies (EGAS00000000001 onwards) and of EGAS00000000115 and EGAS00001002336
AGR Project	African Genome Resource Project	ready-to-add list	minted	COHO:0000213	African Genome Resource	EGA review 2026-09-22: the resource's own EGA study; EGAS00001002465 holds its transcriptome component
ALTTO clinical trial	The Adjuvant Lapatinib And/Or Trastuzumab Treatment Optimisation study	ready-to-add list	minted	COHO:0000211	Adjuvant Lapatinib and/or Trastuzumab Treatment Optimisation trial	EGA review 2026-09-22 (corrected by the reviewer from TCGA)
APCDR	African Patnership for Chronic Disease Research	ready-to-add list	minted	COHO:0000215	African Partnership for Chronic Disease Research	EGA review 2026-09-22: the partnership's African Genome Resource study; its member studies are the AGVP, Uganda GPC, GDAP and Durban studies
African 1000G	African 1000G	ready-to-add list	existing	COHO:0000002	1000 Genomes	the African populations of the 1000 Genomes Project
AGVP	African Genome Variation Project	ready-to-add list	minted	COHO:0000214	African Genome Variation Project	EGA review 2026-09-22: the project's dense array genotyping study; the WGS components are EGAS00001000286, EGAS00001000363 and EGAS00001000960
BALLETT	Belgian Approach of Local Laboratory Extensive Tumor Testing	ready-to-add list	minted	COHO:0000223	Belgian Approach of Local Laboratory Extensive Tumor Testing	EGA review 2026-09-22
CARE	Canadian Airways Research Group	ready-to-add list	minted	COHO:0000229	Canadian Airways Research Group	EGA review 2026-09-22; the acronym CARE is shared with COHO:0000110 and disambiguated by editor notes on both
CENet Cohort	CENet Cohort	ready-to-add list	minted	COHO:0000233	CENet Cohort	EGA review 2026-09-22
CORSA trial	SARS-CoV-2 Vaccine Response in Cancer	ready-to-add list	minted	COHO:0000329	SARS-CoV-2 Vaccine Response in Cancer trial	EGA review 2026-09-22 (corrected by the reviewer); the acronym CORSA is shared with COHO:0000042 Colorectal Cancer Study of Austria, a different study, and disambiguated by editor notes on both
COVID19 HGI	COVID19 Host Genetic Initiative	ready-to-add list	minted	COHO:0000238	COVID-19 Host Genetics Initiative	EGA review 2026-09-22: the initiative's harmonised individual-level data release; the acronym HGI is shared with COHO:0000094 Human Genetics Initiative and disambiguated by editor notes on both
Cambridge Biorepository for Translational Medicine (CBTM)	CBTM	ready-to-add list	minted	COHO:0000228	Cambridge Biorepository for Translational Medicine	EGA review 2026-09-22
Cardiogenics re-sequencing study	Cardiogenics re-sequencing study	ready-to-add list	existing	COHO:0000028	Cardiogenics Study	a study of the Cardiogenics collection, not a cohort of its own
CeDNN	Celiac Disease The Netherlands	ready-to-add list	minted	COHO:0000232	CeDNN	EGA review 2026-09-22 (corrected by the reviewer; the study also draws on the Lifelines Dutch Microbiome Project)
CAD	Coronary Artery Disease cohort	ready-to-add list	minted	COHO:0000358	WTCCC case-control study for Coronary Artery Disease	EGA review 2026-09-22 (verified as WTCCC): the collection's own genome-wide case-control study
DKTK MASTER	Molecularly Aided Stratification for Tumor Eradication Program	ready-to-add list	minted	COHO:0000242	DKTK MASTER	EGA review 2026-09-22 (corrected by the reviewer)
Donor InSight III study	Donor InSight III study	ready-to-add list	minted	COHO:0000243	Donor InSight III study	EGA review 2026-09-22
EMC-DC-IL10R study	EMC-DC-IL10R study	ready-to-add list	minted	COHO:0000246	EMC-DC-IL10R study	EGA review 2026-09-22
EPIGEN-Brazil Initiative	EPIGEN-Brazil Initiative	ready-to-add list	existing	COHO:0000062	EPIGEN	synonym added
EMaB	Entebbe Mother and Baby (EMaB) study	ready-to-add list	minted	COHO:0000248	Entebbe Mother and Baby study	EGA review 2026-09-22 (corrected by the reviewer)
Estonian Microbiome Cohort	Estonian Microbiome Cohort	ready-to-add list	minted	COHO:0000251	Estonian Microbiome Cohort	EGA review 2026-09-22 (added by the reviewer)
