COHO ID	label	curation status	PGS subset	PGS cohort id	placed by	PGS cohort name	PMID	DOI	title	PGP id	roles
COHO:0000002	1000 Genomes	curated		1000G	name (the Catalog id)	1000 Genomes	PMID:38866767	10.1038/s41467-024-48938-2	A unified framework for estimating country-specific cumulative incidence for 18 diseases stratified by polygenic risk.	PGP000618	training samples of PGS004869; training samples of PGS004870; training samples of PGS004871; training samples of PGS004872; training samples of PGS004873; training samples of PGS004874; training samples of PGS004875; training samples of PGS004877; training samples of PGS004878; training samples of PGS004879; training samples of PGS004880; training samples of PGS004881; training samples of PGS004882; training samples of PGS004883; training samples of PGS004884; training samples of PGS004885; training samples of PGS004886
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	curated		AWI-Gen	name (the Catalog id)	Africa Wits-INDEPTH partnership for Genomics studies	PMID:34887591	10.1038/s41586-021-04064-3	The power of genetic diversity in genome-wide association studies of lipids.	PGP000230	evaluation of PGS000889 on PSS001147 (PPM002552); evaluation of PGS000892 on PSS001147 (PPM002553); evaluation of PGS000887 on PSS001148 (PPM002554); evaluation of PGS000889 on PSS001148 (PPM002555); evaluation of PGS000892 on PSS001148 (PPM002556); evaluation of PGS000887 on PSS001149 (PPM002557); evaluation of PGS000889 on PSS001149 (PPM002558); evaluation of PGS000892 on PSS001149 (PPM002559); evaluation of PGS000887 on PSS001150 (PPM002560); evaluation of PGS000889 on PSS001150 (PPM002561); evaluation of PGS000892 on PSS001150 (PPM002562)
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	curated		AWI-Gen	name (the Catalog id)	Africa Wits-INDEPTH partnership for Genomics studies	PMID:35165267		Genetic associations with carotid intima-media thickness link to atherosclerosis with sex-specific effects in sub-Saharan Africans.		source GWAS GCST90092502 of PGS005217
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	curated		AWI-Gen	name (the Catalog id)	Africa Wits-INDEPTH partnership for Genomics studies	PMID:38816834	10.1186/s13073-024-01348-x	Variability of polygenic prediction for body mass index in Africa.	PGP000631	evaluation of PGS004902 on PSS011688 (PPM021332)
COHO:0000006	Africa Wits-INDEPTH partnership for Genomics studies	curated		AWI-Gen	name (the Catalog id)	Africa Wits-INDEPTH partnership for Genomics studies	PMID:40397457	10.1001/jamacardio.2025.1182	Polygenic Prediction of Peripheral Artery Disease and Major Adverse Limb Events.	PGP000732	development of PGS005217 from the samples of GCST90092502
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	curated		arcOGEN	name (the Catalog id)	Arthritis Research UK Osteoarthritis Genetics	PMID:34450027		Deciphering osteoarthritis genetics across 826,690 individuals from 9 populations.		source GWAS GCST90034522 of PGS002728; source GWAS GCST90034523 of PGS002729; source GWAS GCST90034523 of PGS018416; source GWAS GCST90034522 of PGS018417
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	curated		arcOGEN	name (the Catalog id)	Arthritis Research UK Osteoarthritis Genetics	PMID:35644035	10.1002/art.42246	Risk Assessment for Hip and Knee Osteoarthritis Using Polygenic Risk Scores.	PGP000336	development of PGS002728 from the samples of GCST90034522; development of PGS002729 from the samples of GCST90034523
COHO:0000007	Arthritis Research UK Osteoarthritis Genetics	curated		arcOGEN	name (the Catalog id)	Arthritis Research UK Osteoarthritis Genetics	PMID:38678821	10.1016/j.clnu.2024.04.030	Ultra-processed food consumption, genetic susceptibility, and the risk of hip/knee osteoarthritis.	PGP000833	development of PGS018416 from the samples of GCST90034523; development of PGS018417 from the samples of GCST90034522
COHO:0000008	Asian Cancer Project	curated		ACP	name (the Catalog id)	Asian Cancer Project	PMID:22267197		Genome-wide association analysis identifies three new breast cancer susceptibility loci.		source GWAS a GWAS of PGS001778
COHO:0000008	Asian Cancer Project	curated		ACP	name (the Catalog id)	Asian Cancer Project	PMID:23535825		Common genetic determinants of breast-cancer risk in East Asian women: a collaborative study of 23 637 breast cancer cases and 25 579 controls.		source GWAS a GWAS of PGS000050
COHO:0000008	Asian Cancer Project	curated		ACP	name (the Catalog id)	Asian Cancer Project	PMID:27931260	10.1186/s13058-016-0786-1	Prediction of breast cancer risk based on common genetic variants in women of East Asian ancestry.	PGP000035	development of PGS000050 from the samples of a GWAS; evaluation of PGS000050 on PSS000078 (PPM000126)
COHO:0000008	Asian Cancer Project	curated		ACP	name (the Catalog id)	Asian Cancer Project	PMID:32737321	10.1038/s41467-020-17680-w	European polygenic risk score for prediction of breast cancer shows similar performance in Asian women.	PGP000112	evaluation of PGS000344 on PSS000491 (PPM000973); evaluation of PGS000347 on PSS000492 (PPM000974); evaluation of PGS000346 on PSS000493 (PPM000975); evaluation of PGS000345 on PSS000491 (PPM000983)
COHO:0000008	Asian Cancer Project	curated		ACP	name (the Catalog id)	Asian Cancer Project	PMID:34572793	10.3390/cancers13184568	Combination of a 15-SNP Polygenic Risk Score and Classical Risk Factors for the Prediction of Breast Cancer Risk in Cypriot Women.	PGP000259	development of PGS001778 from the samples of a GWAS
COHO:0000009	Aspirin for Asymptomatic Atherosclerosis Study	curated		AAA	name (the Catalog id)	Aspirin for Asymptomatic Atherosclerosis Study	PMID:36224396	10.1038/s41586-022-05275-y	A saturated map of common genetic variants associated with human height.	PGP000382	development of PGS002802 from the samples of a GWAS; development of PGS002804 from the samples of a GWAS
COHO:0000010	AtheroExpress	curated		AEGS1	name (the Catalog id)	AtheroExpress	PMID:25282103		Defining the role of common variation in the genomic and biological architecture of adult human height.		source GWAS GCST002647 of PGS000758
COHO:0000010	AtheroExpress	curated		AEGS1	name (the Catalog id)	AtheroExpress	PMID:27089181		Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.		source GWAS GCST003766 of PGS000767
COHO:0000010	AtheroExpress	curated		AEGS1	name (the Catalog id)	AtheroExpress	PMID:31537779	10.1038/s41398-019-0566-7	Depression genetic risk score is associated with anhedonia-related markers across units of analysis.	PGP000174	development of PGS000767 from the samples of GCST003766
COHO:0000010	AtheroExpress	curated		AEGS1	name (the Catalog id)	AtheroExpress	PMID:32624175	10.1016/j.atherosclerosis.2020.04.013	Family history and polygenic risk of cardiovascular disease: Independent factors associated with secondary cardiovascular events in patients undergoing carotid endarterectomy.	PGP000077	evaluation of PGS000018 on PSS000287 (PPM000498); evaluation of PGS000018 on PSS000287 (PPM000499); evaluation of PGS000018 on PSS000287 (PPM000500); evaluation of PGS000018 on PSS000287 (PPM000501); evaluation of PGS000018 on PSS000287 (PPM000502); evaluation of PGS000018 on PSS000287 (PPM000503); evaluation of PGS000018 on PSS000287 (PPM000504); evaluation of PGS000018 on PSS000287 (PPM000505); evaluation of PGS000018 on PSS000287 (PPM000506); evaluation of PGS000018 on PSS000287 (PPM000507); evaluation of PGS000018 on PSS000287 (PPM000508); evaluation of PGS000018 on PSS000287 (PPM000509); evaluation of PGS000018 on PSS000287 (PPM000510); evaluation of PGS000018 on PSS000287 (PPM000511); evaluation of PGS000018 on PSS000287 (PPM000512); evaluation of PGS000018 on PSS000287 (PPM000513); evaluation of PGS000018 on PSS000287 (PPM000514); evaluation of PGS000018 on PSS000287 (PPM000515); evaluation of PGS000018 on PSS000287 (PPM000516); evaluation of PGS000018 on PSS000287 (PPM000517); and 1 more
