row,id,label,type,colour,coloured_cells,validated_note,change_note,comments,cell_edits,other
126,COHO:0000127,NIDDK,cohort,yellow,id | label | type | acronyms | other_synonyms | definition,,,[id] does this have a long name?,,
229,COHO:0000232,CeDNN,cohort,yellow,label | type | acronyms | other_synonyms,,,[other_synonyms] the long name should be the main name,,
264,COHO:0000267,ICGC Gastric Cancer China project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,[id] should sit under ICGC as the cohort aggregation,,
265,COHO:0000268,ICGC Gynecological Carcinosarcoma project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
266,COHO:0000269,ICGC India Project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
267,COHO:0000270,ICGC Liver Cancer China project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
268,COHO:0000271,ICGC MMML-Seq,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
269,COHO:0000272,ICGC Oesophageal Adenocarcinoma project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
270,COHO:0000273,ICGC Pancreatic Cancer project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
271,COHO:0000274,ICGC PedBrain Tumor Project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
272,COHO:0000275,ICGC Prostate Cancer UK project,cohort,yellow,id | label | type,"Correct, sits under ICGC as a consortium",,,,
276,COHO:0000279,IMMUcan SCCHN1 cohort,cohort,,,is subcohort of IMMUcan,,,,
284,COHO:0000287,LifeLines-DEEP,cohort,,,subcohort of LifeLines,,,,
285,COHO:0000288,Lifelines-NEXT,cohort,,,subcohort of LifeLines,,,,
297,COHO:0000300,Milan cohort,cohort,,,Remove (prior to LLM re-run as edge case) - the Milan Cohort is not a named cohort - just the location. This cohort doesnt have a true name,,,,
303,COHO:0000306,MultiMuTHER,cohort,,,Sub cohort of Twins UK Registry,,[Validated] may need the LLM to add additional cohorts if these aren't already in the ontology,,
334,COHO:0000337,SweGen,cohort,,,Subcohort of the Swedish Twin Registry,,,,
345,COHO:0000348,UK10K,cohort aggregation,,,UK10K is made from the ALSPAC and TwinsUK Cohort,,,,
346,COHO:0000349,UK10K Rare Neuromuscular Disorders cohort,cohort,,,Subcohort of UK10K,,,,
351,COHO:0000354,WTCCC case-control study for Ankylosing Spondylitis,cohort,yellow,id | label | type,,,,,
352,COHO:0000355,WTCCC case-control study for Autoimmune Thyroid Disease,cohort,yellow,id | label | type,,,,,
353,COHO:0000356,WTCCC case-control study for Bipolar Disorder,cohort,yellow,id | label | type,,,,,
354,COHO:0000357,WTCCC case-control study for Breast cancer,cohort,yellow,id | label | type,,,,,
355,COHO:0000358,WTCCC case-control study for Coronary Artery Disease,cohort,yellow,id | label | type,,,,,
356,COHO:0000359,WTCCC case-control study for Hypertension,cohort,yellow,id | label | type,,,,,
357,COHO:0000360,WTCCC case-control study for Inflammatory Bowel Disease,cohort,yellow,id | label | type,,,,,
358,COHO:0000361,WTCCC case-control study for Multiple Sclerosis,cohort,yellow,id | label | type,,,,,
359,COHO:0000362,WTCCC case-control study for Rheumatoid Arthritis,cohort,yellow,id | label | type,,,,,
360,COHO:0000363,WTCCC case-control study for Tuberculosis,cohort,yellow,id | label | type,,,,,
361,COHO:0000364,WTCCC case-control study for Type 1 Diabetes,cohort,yellow,id | label | type,,,,,
362,COHO:0000365,WTCCC case-control study for Type 2 Diabetes,cohort,yellow,id | label | type,,,,,
379,COHO:0000382,UK Biobank Pharma Proteomics Project,cohort,yellow,id | label | type,,,[type] should sit under UKBB,,
407,COHO:0000410,SHIP-TREND,cohort,red,label | type,Acryonm is currently the label - swap with whats listed as acyonm whihc is the long name,,,,
463,COHO:0000466,Genetics of Opioid Addiction Consortium,cohort aggregation,red,label | type | acronyms | other_synonyms | definition | definition_source | definition_drafted_by | Validated ,This is the same as the below GENOA Study - just been given a differant name ,,,,
464,COHO:0000467,Genetics of Opioid Addiction Study,cohort,red,label | type | acronyms | other_synonyms | definition | definition_source | definition_drafted_by | Validated ,Same as above (GENOA) ,,,,
465,COHO:0000468,deCODE Health Study,cohort,yellow,label,,,,,
854,COHO:0000858,Austrian Stroke Prevention Family Study,cohort,,,,,[type] is this the same thing?,,
866,COHO:0000870,IARC Multicenter Case-Control Study,cohort,orange,id | label | type,,,[type] tag under IARC?,,
880,COHO:0000884,Swedish Rheumatology Quality Register,cohort,,,,,[label] same thing?,,
934,COHO:0000938,Tohoku Medical Megabank Community-Based Cohort Study,cohort,yellow,label,,,[label] should go under Tohoku medical community bank,,
935,COHO:0000939,Tohoku Medical Megabank Project Birth and Three-Generation Cohort Study,cohort,yellow,label,,,,,
1176,COHO:0001181,GSK,cohort,red,id | label | type | acronyms | other_synonyms | definition | definition_source | definition_drafted_by,,,[id] this isnt a cohort,,
1629,COHO:0001634,CSGA,unclassified placeholder,yellow,Validated ,this could be Collaborative Studies on the Genetics of Asthma (CSGA) but no associated study so cant check - no harm in adding ths though,,,,
1639,COHO:0001644,Dutch AIH Study Group Consortium,unclassified placeholder,,,,,[type] what does this mean?,,
1671,COHO:0001676,EAS,unclassified placeholder,red,Validated ,This is the same as the below study Edin artery study ,,[id] these are the same,,
1672,COHO:0001677,Edinburgh artery study,unclassified placeholder,red,Validated ,,,,,
1673,COHO:0001678,European Collaborative Study,cohort aggregation,,,,,,,"definition_drafted_by value sits in the Validated column (looks accidental, not a review note)"
1674,COHO:0001679,Etude Cas-Témoins de l'Infarctus du Myocarde,cohort,,,,,,,"definition_drafted_by value sits in the Validated column (looks accidental, not a review note)"
1675,COHO:0001680,Edinburgh Osteoporosis Study,cohort,,,,,,,"definition_drafted_by value sits in the Validated column (looks accidental, not a review note)"
1681,COHO:0001686,Ely case_control study,unclassified placeholder,,,would remove the _,,,,
1689,COHO:0001694,EPICOLON,unclassified placeholder,,,needs long name as label - think its - Epidemiology of Functional Disorders ,,,,
1690,COHO:0001695,EPIFUND,unclassified placeholder,,,needs long name as label - think its - Epidemiology of Functional Disorders ,,[type] full name or any more info available?,,
1693,COHO:0001698,EpiLymph,cohort,,,,,,,"definition_drafted_by value sits in the Validated column (looks accidental, not a review note)"
1706,COHO:0001711,Eudragene,unclassified placeholder,,,should be all capital letters EUDRAGENE,,,,
1740,COHO:0001745,"FinnTwin, Family Study of Cocaine Dependence",unclassified placeholder,,,I think this is two cohorts - FinnTwin and Family Study..... ,,,,
1771,COHO:0001776,Gene MSA Switzerland,unclassified placeholder,,,,,[label] thought these might be linked but cant find out much about them,,
1787,COHO:0001792,Georgetown,unclassified placeholder,,,Placename- would remove ,,,,
1794,COHO:0001799,G-FaST,unclassified placeholder,,,not a cohort but a method,,,,
1804,COHO:0001809,Glasgow,unclassified placeholder,,,Placename -would remove,,,,
1828,COHO:0001833,Gene By Environment,unclassified placeholder,red,id | label | type | acronyms,not a cohort,,[acronyms] this isnt a cohort,,
1862,COHO:0001867,HMGU,unclassified placeholder,,,Cant find a related cohort here - so either needs to be removed or more info needed from study description ,,[id] I think a long name needed here too,,
1878,COHO:0001883,Hamburg-Zagreb,unclassified placeholder,,,placename -would remove,,,,
1891,COHO:0001896,International Consortium on the Genetics of Heroin Dependence - Alcohol Related Conditions,unclassified placeholder,,,would list ICGHD as an aggregated cohort and have these as subc. like for the ICGC ones,,,,
1892,COHO:0001897,International Consortium on the Genetics of Heroin Dependence - Center for Inherited Disease Research,unclassified placeholder,,,would list ICGHD as an aggregated cohort and have these as subc. like for the ICGC ones,,,,
1893,COHO:0001898,International Consortium on the Genetics of Heroin Dependence - Research on Alcohol and Tobacco Related Phenotypes,unclassified placeholder,,,would list ICGHD as an aggregated cohort and have these as subc. like for the ICGC ones,,,,
1894,COHO:0001899,International COPD Genetics Network,unclassified placeholder,,,aggregated cohort as a consortium,,,,
1940,COHO:0001945,Johns Hopkins Hospital,unclassified placeholder,,,not a cohort - would remove,,,,
1961,COHO:0001966,KLCRI,unclassified placeholder,,,need to check long name ,,,,
1976,COHO:0001981,KSMU,unclassified placeholder,,,need to check long name ,,,,
1977,COHO:0001982,Karolinska University Hospital,unclassified placeholder,,,not a cohort,,,,
1978,COHO:0001983,Katholieke Universiteit Leuven,unclassified placeholder,,,not a cohort,,,,
1979,COHO:0001984,University of Kansas Medical Centre,unclassified placeholder,,,not a cohort,,,,
1991,COHO:0001996,Leeds,unclassified placeholder,,,not a cohort,,,,
2003,COHO:0002008,Lung Institute of Western Australia,unclassified placeholder,,,not a cohort,,,,
2005,COHO:0002010,Leuven Multidisciplinary Breast Centre,unclassified placeholder,,,not a cohort,,,,
2011,COHO:0002016,LOOP study,unclassified placeholder,,,needs long name,,,,
2013,COHO:0002018,Leicester Royal Infirmary,unclassified placeholder,,,not a cohort,,,,
2017,COHO:0002022,Leiden University Medical Center,unclassified placeholder,,,not a cohort,,,,
