ID	TYPE	label	data collection location	evidence	source
ID	TYPE		I coho:has_data_collection_location SPLIT=|	>A rdfs:comment	>A oio:hasDbXref
COHO:0000002	owl:NamedIndividual	1000 Genomes	dbpedia:Africa|dbpedia:Eastern_Asia|dbpedia:Europe|dbpedia:South_Asia|dbpedia:Northern_America|dbpedia:Latin_America_and_the_Caribbean	individuals were sampled from 26 populations in Africa (AFR), East Asia (EAS), Europe (EUR), South Asia (SAS), and the Americas (AMR)	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4750478/fullTextXML
COHO:0000003	owl:NamedIndividual	AddNeuroMed Cohort	dbpedia:Finland|dbpedia:France|dbpedia:Greece|dbpedia:Italy|dbpedia:Poland|dbpedia:United_Kingdom	To do so, individuals are followed up and diagnosed as CN/MCI/AD longitudinally at 3- to 12-month intervals at centers across 6 European countries—Finland, Italy, Greece, Poland, France, and the UK	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6804515/fullTextXML
COHO:0000004	owl:NamedIndividual	Adenoma Prevention with Celecoxib trial	dbpedia:United_States|dbpedia:Australia|dbpedia:Canada|dbpedia:United_Kingdom	72 in the United States, 8 in Australia, 10 in Canada, and 1 in Great Britain.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2976587/unicode
COHO:0000005	owl:NamedIndividual	Advanced Study of Aortic Pathology	dbpedia:Sweden	patients undergoing aortic valve surgery and/or surgery for aortic aneurysm at the Karolinska University Hospital, Stockholm, Sweden	https://research.chalmers.se/publication/514203/file/514203_Fulltext.pdf
COHO:0000006	owl:NamedIndividual	Africa Wits-INDEPTH partnership for Genomics studies	dbpedia:Burkina_Faso|dbpedia:Ghana|dbpedia:Kenya|dbpedia:South_Africa	It has over 12,000 participants from four sub-Saharan African countries, Burkina Faso, Ghana, Kenya and South Africa	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8844072/fullTextXML
COHO:0000007	owl:NamedIndividual	Arthritis Research UK Osteoarthritis Genetics	dbpedia:United_Kingdom	Arthritis Research UK Osteoarthritis Genetics (arcOGEN) is a collection of 7410 unrelated, UK-based individuals of European ancestry with knee and/or hip osteoarthritis from the arcOGEN Consortium	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8459317/fullTextXML
COHO:0000008	owl:NamedIndividual	Asian Cancer Project	dbpedia:Thailand	Asian Cancer Project (ACP) Thailand	https://researchmgt.monash.edu/ws/portalfiles/portal/299466323/125481567_oa.pdf
COHO:0000009	owl:NamedIndividual	Aspirin for Asymptomatic Atherosclerosis Study	dbpedia:United_Kingdom	involving 28,980 men and women aged 50 to 75 years living in central Scotland, free of clinical cardiovascular disease	https://europepmc.org/abstract/MED/20197530
COHO:0000010	owl:NamedIndividual	AtheroExpress	dbpedia:Netherlands	AE enrolled patients who underwent CEA (n = 2466 until December 2020) in two tertiary referral hospitals in the Netherlands	https://pmc.ncbi.nlm.nih.gov/articles/PMC13308645/
COHO:0000011	owl:NamedIndividual	Atherosclerosis Risk in Communities Study	dbpedia:United_States	the clinical outcomes from four U.S. communities.	https://www.nhlbi.nih.gov/research/atherosclerosis
COHO:0000012	owl:NamedIndividual	Atopic Dermatitis Research Network	dbpedia:United_States	United States	https://clinicaltrials.gov/api/v2/studies/NCT00550316
COHO:0000013	owl:NamedIndividual	Australia Cancer Study	dbpedia:Australia	recruitment through the New South Wales and Victorian Cancer Registries was conducted in parallel under a separately funded study: the Australian Cancer Study	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC2666187/unicode
COHO:0000014	owl:NamedIndividual	Australian Ovarian Cancer Study	dbpedia:Australia	AOCS gratefully acknowledges the cooperation of the participating institutions in Australia	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10711013/fullTextXML
COHO:0000015	owl:NamedIndividual	Australian Twin Registry	dbpedia:Australia	The Australian Twin Registry (ATR) is a national volunteer resource of twin pairs and higher-order multiples willing to consider participating in health, medical, and scientific research	https://europepmc.org/abstract/MED/23200298
COHO:0000016	owl:NamedIndividual	Avon Longitudinal Study of Parents and Children	dbpedia:United_Kingdom	Avon Longitudinal Study of Parents and Children (ALSPAC)recruited 14,775 babies of predominantly White ethnicity in the Avon county of south-west England	https://metadata.ega-archive.org/studies/EGAS00001005273
COHO:0000017	owl:NamedIndividual	Berlin-Frankfurt-Münster trials	dbpedia:Germany|dbpedia:Austria|dbpedia:Switzerland	Patients were treated in up to 82 centers in Germany, Austria, and Switzerland.	https://pubmed.ncbi.nlm.nih.gov/23700060/
