ID	TYPE	label	participants	participants evidence	participants source	participants note	cases	cases evidence	cases source	cases note	controls	controls evidence	controls source	controls note
ID	TYPE		AT coho:numberOfParticipants^^xsd:integer	>A rdfs:comment	>A oio:hasDbXref	>A IAO:0000116	AT coho:numberOfCases^^xsd:integer	>A rdfs:comment	>A oio:hasDbXref	>A IAO:0000116	AT coho:numberOfControls^^xsd:integer	>A rdfs:comment	>A oio:hasDbXref	>A IAO:0000116
COHO:0000002	owl:NamedIndividual	1000 Genomes	2504	Here we report completion of the project, having reconstructed the genomes of 2,504 individuals from 26 populations using a combination of low-coverage whole-genome sequencing, deep exome sequencing, and dense microarray genotyping.	PMID:26432245	individuals from 26 populations with reconstructed genomes (final phase 3), 2015								
COHO:0000003	owl:NamedIndividual	AddNeuroMed Cohort	781	The AddNeuroMed study was established in 2006 and enrolled 781 individuals at baseline.	PMID:31650008	individuals enrolled at baseline								
COHO:0000004	owl:NamedIndividual	Adenoma Prevention with Celecoxib trial	2035	The trial randomized 2,035 subjects to receive either placebo, celecoxib 200 mg twice daily, or celecoxib 400 mg twice daily.	PMID:19336730	subjects randomised to placebo or celecoxib								
COHO:0000005	owl:NamedIndividual	Advanced Study of Aortic Pathology	600	Analysis of the clinical outcomes (aortic events and survival) was performed in 566 of the original 600 patients.	PMID:40207537	patients in the original ASAP study population (operated 2007-2013)								
COHO:0000006	owl:NamedIndividual	Africa Wits-INDEPTH partnership for Genomics studies	12032	During Wave 1 (2013–17), 12 032 participants were enrolled.	PMID:39899987	participants enrolled in Wave 1 (baseline), 2017								
COHO:0000007	owl:NamedIndividual	Arthritis Research UK Osteoarthritis Genetics	7410	We undertook a large genome-wide association study (GWAS) in 7410 unrelated and retrospectively and prospectively selected patients with severe osteoarthritis in the arcOGEN study, 80% of whom had undergone total joint replacement, and 11 009 unrelated controls from the UK.	PMID:22763110	arcOGEN osteoarthritis cases in the GWAS (controls came from other UK studies), 2012	7410	We undertook a large genome-wide association study (GWAS) in 7410 unrelated and retrospectively and prospectively selected patients with severe osteoarthritis in the arcOGEN study, 80% of whom had undergone total joint replacement, and 11 009 unrelated controls from the UK.	PMID:22763110	arcOGEN osteoarthritis cases in the GWAS (controls came from other UK studies), 2012	11009	We undertook a large genome-wide association study (GWAS) in 7410 unrelated and retrospectively and prospectively selected patients with severe osteoarthritis in the arcOGEN study, 80% of whom had undergone total joint replacement, and 11 009 unrelated controls from the UK.	PMID:22763110	arcOGEN osteoarthritis cases in the GWAS (controls came from other UK studies), 2012
COHO:0000008	owl:NamedIndividual	Asian Cancer Project					423	Asian Cancer Project (ACP) Thailand 636 423 92 53	https://pmc.ncbi.nlm.nih.gov/articles/PMC4204770/	cases and controls contributed to the BCAC COGS genotyping (analysed subset), 2014	636	Asian Cancer Project (ACP) Thailand 636 423 92 53	https://pmc.ncbi.nlm.nih.gov/articles/PMC4204770/	cases and controls contributed to the BCAC COGS genotyping (analysed subset), 2014
COHO:0000009	owl:NamedIndividual	Aspirin for Asymptomatic Atherosclerosis Study	3350	The 3350 remaining were randomly assigned to aspirin or placebo.	PMID:18762476	participants randomly assigned to aspirin or placebo								
COHO:0000010	owl:NamedIndividual	AtheroExpress	3500	The current number of included AE patients is over 3,500, some 2,400 patients underwent carotid endarterectomy, almost 700 “femoral” patients had surgery, and well over 70 other types of arteries were operated on.	https://research.umcutrecht.nl/athero-express/	patients included in the biobank (stated as a lower bound, 'over 3,500')								
